stage,eye,glial,neural,spinal_cord
 24-34,0,0.87,1.69,0.92
 36-46,0,0,10.48,1.51
 48-58,0,0,8.47,0
 60-70,0,0,0.73,0
 72-82,2.29,0,7.76,0
 84-94,1.42,0,0,0
120,0,0,3,0
