stage,blastomeres,epidermis,eye,glial,gut,mesenchyme,mucous,neural,olfactory,otic,spinal_cord,taste
  3-4,10.88,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,5.69,0,0,0,0
 14-21,0,0,0,0,0,0,0.95,0,0,0,1.39,0
 24-34,0,0,0,0,0,0,0,10.5,0,0,2.3,0
 36-46,0,0,0,0.64,0,0,0,6.73,0,0,0.62,0
 48-58,0,0,0,0,0,0,0,10.94,0,0,0,0
 60-70,0,0,3.51,1.78,0.57,0,0,12.5,0,0,0.93,0
 72-82,0,0,0,0,0,0,0,6.39,0,0,0,1.48
 84-94,0,0.98,0,0,1.86,0.56,0,14.1,0,0,0,0.61
 96-106,0,0,0,0,0,0,0,8.49,1.85,2.22,0,0
108-118,0,1.8,0,0,0.62,0,0,11.09,1.19,2.06,0,0.44
