stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,iridophores,liver,mesenchyme,neural,otic,periderm,pronephros,spinal.cord
  3-4,40.89,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.22,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,5.68,0,0,0,0
 14-21,0,0,0,4.84,0,0,0,0,0,43.6,0,0,0,0
 24-34,0,0,0,1.28,0,0,1.55,0,1.95,9.19,0,0,0,0
 36-46,0,0,0,20.25,2.75,0,0,0,0,3.14,0.72,0,0,5.98
 48-58,0,0,0,52.13,2.09,0,0,0.86,0,7.55,0,0,0,2.28
 60-70,0,0,0,43.72,6.27,0,2.55,0,0,20.86,0,6.72,1.12,0.67
 72-82,0,0,0,27.3,7.39,0,0.59,0,0,55.39,0.67,0,0.97,0
 84-94,0,0,0,21.23,8.76,1.45,0.62,0.6,0,54.4,0,0,0,0
 96-106,0,0,0.67,10.46,23.04,0,0,0,0,859.41,2.01,0.89,0,0
108-118,0,0,0,6.05,19.64,0,5.3,0,3.04,321.96,0.44,0,0,0.55
120,0,14.07,0,19.93,0,0,4.74,0,0,423.9,0,0,0,0
