stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,258.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,305.76,0,0,0,0,0,0,0,0,0,0,14.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,6.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.88,5.53,0,0,16.95,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.56,0,10.77,0,5.1,16.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.81,4.29,0,0,9.68,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.11,35.47,15.18,4.06,0,0,0,4.42,1.07,0,1.8,0,0,0,0,0.86,0,8.84,0,0,6.39,70.05,13.87,0,1.09,0.94,0,0,7.13,1.01,0,7.55,23.5,0,0,11.66,0,0
 24-34,0,0,0,7.16,0,5.58,0,0,0,6.83,0,0,0.62,1.77,0,0,0,2.18,12.21,31.73,0,0,7.28,187.88,0,0.96,0,0,0,4.76,0,0,0,0.85,45.64,0,0,23.07,0,0
 36-46,0,0,0,3.44,0,26.92,0,0,2.72,3.85,0,0,0,0.73,0.6,0,0,0,2.26,39.29,0,1.44,8.27,301.75,13.81,4.02,0,0,0,8.22,0,0,0,0,43.94,0,0.85,17.25,0,1.2
 48-58,0,0,0,5.09,0,45.29,0,0.89,1.41,19.27,0,0,1.14,1.73,0,0,0,0,0,26.96,0,0.4,4.61,115.84,0,0,1.69,0,0,1.44,0,0,0,0,26.13,0,0,14.92,0,0.5
 60-70,0,0,0,4.31,0,97.5,0.58,0,3.97,8.12,4.29,0,1.5,15.04,0,2.04,1.96,0,0,77.89,0,0,5.27,72.27,0,0,0,0,0,6.46,0,1.17,0,0,13.4,1.22,0,20.73,0,14.85
 72-82,0,0.79,0,10.03,0,74.91,7.1,0,6.68,24.27,3,0,2.66,6.14,1.08,0,0.67,0,0,93.7,0,1.82,7.64,72.54,0.91,0,1.51,0,2.63,4.52,0,0.55,0,0,23.56,0,0.93,29.1,1.14,9.7
 84-94,0,0,0,6.29,0,58.39,0,0,7.53,5.9,2.98,0,0.73,8.72,1.51,8.94,1.4,0,5.92,71.59,0,2.44,1.07,58.81,0,0,0,0,0,10.68,0,0,9.21,0,9.76,1.14,2.08,22.34,6.19,0.88
 96-106,0,0,0,6.12,0,28.13,0,0,10.34,16.68,1.73,0,3.54,2.35,0,0.76,0.64,0,0,47.99,0,0.88,5.49,74.06,0,0,1.99,0,2.47,5.68,0,0,0,0,1.92,10.51,0.69,12.71,1.84,0.62
108-118,0,0,0,16.3,0,36.62,0.5,1.61,15.03,14.5,2.11,0,0.63,3.38,0,1.29,0,1.58,0,95.02,0.54,8.21,1.38,66.7,0,3.81,15.14,0,0,8.8,0,0,0,0,4.49,2.06,0.88,18.34,5.41,1.3
120,0,0,0,20.53,0,43.74,0,1,12.83,50.44,15.14,0,2.11,32.15,0,0,0,0,0,146.2,0,0,0,29.75,2.23,0,4.64,0,0,0,0,0,0,0,20.58,0,3.79,59.37,1.59,3.58
