stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,61.8,747.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.48,0,0,0,0,0,0,0,0,0
  5-6,46.31,820.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.43,0,0,0,0,0,0,0,0,0,0,0
  7-9,22.45,11.51,0,38.58,0,0,0,93.66,0,0,0,0,39.36,0,0,0,0,0,0,0,0,0,655.09,41.77,0,0,130.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,24.09,0,10.92,0,0,0,86.07,0,0,0,0,13.04,0,0,0,0,0,0,0,0,0,862.97,13.93,0,0,197.38,0,0,0,27.89,0,0,0,0,0,0,0
 14-21,0,0,1.09,0.95,5.71,1.09,0,5.13,0,0,0,0.97,0,0,0,0,0,0,0,2.01,0,3.27,72.82,0,0,2.98,3.37,0,1.39,5.64,0,3.47,7.14,17.93,0,0,0,0
 24-34,0,0,0,0.63,2.89,0,0,8.41,0.6,0,2.97,0.67,0,0,0,0,0,1.81,0,8.15,0,1.59,268.99,0,2.73,1.84,0,0,0.75,0,0,0,1.89,65.22,0,0,0,0
 36-46,0,0,0,0,3.01,0,0,45,0,0,16.99,0,0,0,0,0,0,2.14,0.79,2.81,0,0,373.4,0,3.75,2.45,0,0,0,0,0,0.74,0,77.89,0,0,1.03,0
 48-58,0,0,0,0,1.35,0,0,89.92,0,0,10.71,0,0,0,0,0,0,0,0,3.65,0,0,376.24,0,7.09,1.26,0,0,0,0,0,0,0,77.86,0,0,0.95,0
 60-70,0,0,0,0,9.88,0,0,114.28,0,0.7,12.46,0,0,0,0.65,0,0,0,3.9,23.36,0,0.6,348.87,0,0.72,0,0,0,1.52,0,0,0,0,35.76,0,0,0,0
 72-82,0,0,0,0,1.91,0,0,54.73,0,1.36,3.74,0,0,0,1.94,0,0,0,0,5.95,0,0,183.33,0,0.67,0.76,0,0,0,0,0,0,0,18.84,0,0,0,0.92
 84-94,0,0,0,0,2.02,0,0,47.46,0,0,8.79,0,0,0,0,0.68,0,0,0,6.45,0.89,1,107.14,0,1.65,0,0,0,0.92,0,0,0,0,22.4,0.62,1.79,0.59,0
 96-106,0,0,0,0,2.9,0,0,38.65,0,0,4.12,1.76,0,1.55,0.79,0,0,0,0,8.08,0,0,79.75,0,4.06,0,0,3.62,4.88,0,0,7.61,0,2.35,0,0,0,0.86
108-118,0,0,0,0,3.07,0,0.44,30.11,0,0,3.57,3.04,0,0,1.07,0,1.07,0.94,0,8.03,0,2.27,98.77,0,1.14,0,0,0,3.98,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,1.98,0,41.03,1.88,0,11.59,7.81,0,0,0,0,0,0,0,10.26,12.5,2.24,70.11,0,0,0,0,0,1.98,0,0,0,0,0,0,0,0,0
