stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_epithelia,glial,gut,heart,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
  3-4,10.58,124.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,40.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.38,0,0,0,0,0,0,0,0,0,0,8.74,0,12.41,0,0,0,0,0,0
 10-12,0,0,0,4.04,0,0,0,0,0,0,0,0,0,0,0,19.12,0,0,11.32,0,0,0,0,0,0
 14-21,0,0,0,0,1.9,0,0,1.33,0,0,0,0,1.66,0,0,10.26,0,1.09,0,0,0,1.74,5.24,0,0
 24-34,0,0,0,0,0.65,0,0,0,0,0,0,0,0.78,0,0,19.77,0,0,0,2.03,1.04,0,0,0,0
 36-46,0,0,0,0,0.63,6.02,0,1.44,0,0.57,0,0,0,0,0,16.76,0,0,0,10.5,0,0,1.37,0,0
 48-58,0,0,0,0,0,7.03,0,0,0,0.9,0,0,1.81,0,0,14.83,0,0,0,4.45,0,0,0,0,0
 60-70,0,0,0,0,0,93.4,0,0.97,0,0,0,0,0,0,1.02,6.6,0,0,0,3.97,0,0,2.14,0,0
 72-82,0,0,0,0,0,48.19,0.69,0,0,0,0,0,1.5,0.68,0,3.03,0,0,0,1.53,0,0,0,0,0
 84-94,0,0,0,0,0,56.33,0,0,1.45,0,0.89,0,5.46,0,0,4.39,0,0,0,2.31,0,0,0,1.23,0
 96-106,0,0,0,0,0,24.82,0,3.13,3.46,0,0,0,2.3,0,0,13.22,0,0,0,7.02,0,0,0.86,0,0.72
108-118,0,0,2.6,0,0,21.51,0.96,1.82,4.08,0,0.51,1.44,1.05,0,0.55,5.75,0,0,0,6.54,0,0,3.63,0,0
120,0,0,0,0,4.22,0,0,0,4.04,0,0,0,0,0,0,2.96,0,0,0,2.4,0,0,0,0,0
