stage,blastomeres,epidermis,eye,fin.epithelia,hatching.gland,ionocyte,mesenchyme,mucous,muscle,neural,otic,paraxial.mesoderm,periderm,spinal.cord
  3-4,32.27,0,0,0,0,0,0,0,0,0,0,0,11.98,0
 10-12,0,0,0,0,6.08,0,0,0,0,0,0,6.97,0,0
 14-21,0,2.83,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,3.58,0,0,0,0,0,0,0.73,1.04,0,0,0,0
 36-46,0,4.59,1.59,0,0,0,14.46,0,1.01,0,0,0,0.74,0
 48-58,0,0,0,0,0,0,12.8,1.73,0,0,0,0,0,0
 60-70,0,0.6,0,0,0,0,26.07,0,0,2.83,1.2,0,0,0
 72-82,0,3.76,2.47,0,0,0,5.04,0,0,0,0.61,0,0,0
 84-94,0,10.71,0,0,0,0,5.8,0,0,0,0,0,0,0
 96-106,0,6.92,0,0,0,0,2.78,0,4.23,0,0,0,0,0
108-118,0,5.87,0.67,0,0,0.45,9.69,0,0.56,2.72,1.14,0,0,2.21
120,0,2.97,0,2.23,0,0,6.78,0,0,0,0,0,0,0
