stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,30.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,25.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.68,0,0,0,9.46,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.07,3.26,0,0,0.81,0,0,0,1.35,0.97,0,0,0,0,0,0,0,1.16,0,0.94,155.29,1.23,3.47,0,0.88,0,0,0,2.84,0,0,0,115.69,0,0,0,0,0
 24-34,0,3.37,3.67,0,0,13.28,0,0.97,0,2.32,0,0,2.66,0,0,0,0,0.62,1.79,0,1.62,1216.69,0,39.24,0,0,0,0,0,0,1.09,1.16,0,475.5,0,0,4.31,0,3.2
 36-46,0,1.84,2.53,0,0,118.44,0,0.93,0,21.92,0,0,0.91,0,0,0,0,0,3.7,0,0.93,3290.74,0,56.78,0,0,0,3.76,0,0,0,0,0.6,911.19,0,0,9.62,0,0
 48-58,0,0.65,15.37,2.49,0,503.14,3.03,0.62,0.58,45.97,0,1.04,2.09,0.49,4.44,0.39,0,6.67,47.71,8.32,6.28,5297.23,1.29,59.98,2.88,0,0,9.56,0,0,0,3.57,0,1076.05,0,0,5.24,0,3.31
 60-70,0,0.91,18.56,2.19,0,2002.47,3.84,3.44,0.72,84.44,3.45,0,4.59,3.07,23.47,0,0,0,34.69,9.79,0.68,6898.11,0.68,43.88,5.64,0,0,4.93,0,0,0,1.58,0,1139.88,0,0,13.03,0,10.74
 72-82,0,2.92,25.3,15.17,0,2683.44,0,0,7.37,97.1,0,0,18.01,0.61,8.17,0.89,0,0,71.06,4.89,1.38,6503.89,0.55,62.95,3.32,0,1.4,17.72,0,0,0,1.07,0,779.49,0.8,0,5.09,2.68,17.66
 84-94,0,0,44.95,6.09,0,2103,0.56,0,5.54,133.41,8.1,2.33,17.67,1.44,5.41,0.69,0.68,7.65,69.3,3.45,1.68,4958.69,0.67,52.45,2.06,0,0,21.06,0,0,0.64,0,0,571.68,0.57,2.48,4.81,1.79,5.08
 96-106,0,5.99,20.39,4.42,0,2158.99,0.57,13.04,9.79,117.82,1.2,0,9.85,4.9,3.88,0,9.31,6.45,69.42,1.37,2.5,4266.93,0,86.82,2.57,0,0,15.34,2.06,0,1.11,0,0,258.58,0,0,0.81,1.44,6.57
108-118,0,0.57,42.29,8.01,3.08,1905.01,0.43,0.43,1.55,181.34,6.49,0,20.29,1.15,5.15,0,1.6,0,61.1,2.85,0.53,5219.59,0.78,70.96,2.07,0,0,7.09,0,0,0,0,0,198.07,0.68,1.41,1.24,5.59,0
120,0,4.31,31.3,4.28,0,1621.82,18.76,17.48,9.22,319.3,1.61,3.15,28.14,9.72,1.58,4.64,3.69,0,92.47,0,8.88,7577.12,1.87,86.09,19.19,0,7.36,2.47,0,0,1.22,0,0,323.71,0,0,15.04,10.94,0
