stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,51,744.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,99.56,2170.28,0,16.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.95,0,0,0,20.87,0,14.05,0,0,0,0,0,0,0,0,0,0,0
  7-9,127.59,112.02,0,172.75,0,0,0,304.24,0,0,0,0,0,173.78,0,0,0,0,0,0,0,0,0,0,2861.31,185.61,0,0,1028.74,0,0,22.27,0,12.75,0,0,0,0,0,0,0,0
 10-12,0,80.49,0,149.45,0,11.83,0,290.03,0,0,0,0,0,19.82,0,0,0,0,0,0,0,0,0,0,2584.49,132.21,0,0,774.84,0,0,7.97,0,123.01,0,10.09,0,0,0,0,0,0
 14-21,0,0,1.38,5.61,38.61,8.94,0,13.18,0,0.95,0,11,2.71,0,4.35,0,0,0,0,33.49,0,28.31,0,26.59,442.24,3.17,0,3.55,8.86,0,0,3.27,6.11,1.7,1.74,10.9,205.25,0,0,0.96,0,0
 24-34,0,0,1.05,0,15.01,3.13,0,66.06,0,0,3.24,17.79,0,0,1.33,0,0.71,0,1.21,2.41,0,88.61,0,28.62,1926.11,3.52,14.44,9.25,0,0,0,0,0,0,0,5.58,511.25,0,0,19.87,0,3.66
 36-46,0,0,0,0,4.27,0,0,282.88,1.17,6.27,2.89,74.47,0,0,3.5,1.52,0,0.94,1.61,0.67,11.45,99.49,5,28.19,3478.1,0,6.49,4.88,0,0,22.68,0,0,0.62,0.56,0,747.37,0,0,14.22,0,0.72
 48-58,0,0,0,0,37.89,3.59,0,611.37,0.42,1.44,10.93,131.81,0,0,3.02,0,0,1.32,0.81,0,0.46,166.82,9.51,27.71,3786.47,4.39,7.95,1.69,0,1.49,9.02,0,0,0,4.83,0,717.39,0,1.85,10.3,0,19.13
 60-70,0,0,0.91,0,19.85,0,0,844.93,0.81,0.99,0,157.18,0.58,0,2.44,4.46,0,0,0,0,5.72,193.92,1.97,10.45,3793.2,6.77,2.37,9.07,0,1.22,3.5,0,0,0,0,0,577.47,1.53,2.74,3.53,0,7.15
 72-82,0,0,0.56,0,14.52,5.03,0,735.97,0.6,7.62,6.19,84.29,1.2,0,6.2,0.67,2.18,0,2.31,6.13,0.85,190.88,12.83,10.32,2620.86,0,7.59,3.06,0,0,1.48,0,0,0,3.15,0,414.9,0,0.93,4.54,9.57,3.87
 84-94,0,0,0,0,20.24,2.27,0,525.79,0,1.15,8.38,91.28,5.51,0,8.59,4.91,0.68,1.32,1.68,0,0.72,148.67,12.51,22.46,1817.61,0.62,3.74,7.52,0,1.49,3.48,0,0,0.62,0,0,236.56,1.17,8.95,10.64,7.58,2.11
 96-106,0,0,0,0,23.35,1.81,0,399.04,1.43,0.62,1.63,62.3,2.88,0,0.71,0.77,0.59,1.49,0.82,0.76,0,126.2,1.24,12.3,1347.22,1.52,8.55,5.21,0,9.44,7.4,0,0,0.82,0,0,85.63,0,2.58,3.86,3.42,18.55
108-118,0,0,0,0,26.1,5.08,0.45,367.08,0.45,3.45,2.73,47.16,1.98,0,1.27,4.3,0,3.66,4.56,0,1.71,109.26,13.03,10.24,1855.81,0,3.92,2.98,0,19.76,4.96,0,0,0.94,0,0,70.04,0,2.66,5.66,3.05,5.51
120,0,0,0,0,21.52,0,0,424.88,1.99,3.92,5.89,84.64,6.91,0,0,0,0,0,4.13,0,0,85.38,0,8.54,2846.62,5.32,10.9,13.55,0,0,3.29,0,0,0,0,0,104.53,0,1.56,19.5,1.59,0
