stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  5-6,18.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.32,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,4.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.07,11.6,0,0,21.39,0,5.85,0,0,0,0,0,0,0,0
 14-21,0,240.41,0,7.74,0,0,0,0,0,0,0,0,0,0,0,33.92,0,0,0,0,3.6,0,0,0,3.15,2.43,0,0,0,0,3.89,5.39,0,16.76,23.37,0,0,0,0
 24-34,0,348.63,0,5.64,0,0,0,0,0.94,0,1.07,0.67,14.14,0,0,198.85,0,0,0,0,5.44,23.73,0,2.44,60.52,0.59,0,0,0,0,0,0,6.33,11.62,1.94,4.51,0,5.73,1.01
 36-46,0,271.8,0,15.54,4.05,0,1.76,0,0,0.65,17.82,0,17.9,0,0,131.61,0,0,0,0,2.22,9.78,0,0,210.47,0,2.41,0,0,2.8,0,0,6.99,0,0,2.86,0,0,0
 48-58,0,170.02,0,17.11,0,0,19.21,0,0,3.34,17.03,0,30.4,0,0,10.48,0,0,1.39,0.87,5.02,0,0,0.54,202.47,0,1.2,0,0,2.67,0,0,4.25,0,0,10.8,0,0.51,0
 60-70,0,107.56,0,105.99,0,0,22.42,0,3.8,1.03,30.15,1.9,6.85,0,3.1,2.62,0,0,0,0,6.93,0,0,3.63,306.99,0,0,0,0,4.32,0,0,12.97,0,0,12.28,1.77,1.02,0
 72-82,0,370.57,0,259.96,0,0,111.09,0,0,3.99,79.58,26.42,0,0,35.84,3.28,0,0,0.66,0,10.47,1.03,0,1.46,736.17,0,0,0.57,0,0,18.18,0,13.69,0,0,0.64,17.48,2.48,5.85
 84-94,0,537.86,0,377.4,0,2.84,84.96,0,0,1.3,71.57,35.08,2.92,0,21.77,16.39,0,1.2,0,0,9.56,0,0.57,0.98,382.3,0,0.85,1.03,0,4.95,0,0,18.4,0,0,0.64,85.42,2.76,0
 96-106,0,458.31,0,231.24,3.07,11.28,58.42,0,13.06,0,44.83,34.66,0,0,95.43,4.1,0.75,7.68,0,0,8.92,0,0,0,434.01,0,2.07,0,0,17.48,94.21,0,28.87,0,0,19.32,123.67,3.28,1.61
108-118,0,456.51,0,79.23,2.78,9.78,131.92,4.27,1.44,0.62,163.26,29.82,0,0,116.86,7.36,0,0,3.36,0,18.07,0,0,1.97,692.19,0,1.62,1.46,0,5.14,0,0,94.76,0,0,11.96,129.08,4.36,0
120,0,392.26,0,89.92,1.54,5.82,87.69,0,2.67,0,93.2,9.05,0,5.1,155.39,2.21,0,0,25.49,0,11.7,0,0,5.71,992.16,0,0,31.22,0,1.68,4.99,0,30.24,0,0,0,25.27,24.65,4.37
