stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,11.28,26.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,29.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.29,0,0,0,0,0,0,0,0
  7-9,0,6.2,0,0,0,0,3.72,0,0,0,0,0,0,0,0,0,0,70.23,0,0,0,11,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.94,0,0,0,4.22,0,11.92,0,0,0,0,0,0,0
 14-21,0,0,0.92,0,0.86,0,1.54,0,0,1.17,0,0,0,0,1.18,0,0,8.98,0,0,5.72,0,1.56,0,1.08,0,1.02,2.84,0,0,0
 24-34,0,0,0,0.61,0,0,0,0,0,0,0,0,0,0,1.46,0,0,3.58,0,0,52.46,0,1.14,0,0.94,0.61,0,0.86,0,0,0
 36-46,0,0,0,0,0,0,1.31,0,0,0,0,0,0,0,0.86,0,0.55,11.45,0,1.65,95.44,0,0,0,0,0,0,4.65,0,0,0
 48-58,0,0,0,0,1.23,0,1.67,0,0,0,0,0,0,0,13.46,0,0,8.79,0,0.47,94.24,0,0,0,0,0,0,3.34,0,0,2.36
 60-70,0,0,0,0,2.38,0,16.94,0,0,0.81,0,0,0,0,7.29,0,0.68,28.76,2.09,1.02,79.53,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,4.3,5.49,0,19.54,0,0,2.63,0,0,0,2.78,5.84,0,0,11.92,0,0,158.14,0,0,0,0,0,0,8.15,1.34,0,0
 84-94,0,0,0,0.58,35.26,0,4.94,0,0,2.29,0.58,0,0.62,0,9.09,0,0,8.78,0,0,111.56,0,1.24,0,0,0,0,0.77,0,0,0
 96-106,0,0,0,4.32,26.29,1.14,4.36,0.65,0,2.32,0,1.39,0.64,0,7.71,0,0.86,13.49,0,0,113.96,0,7.19,0,0,0.68,0,0,1.13,0,0
108-118,0,0,0,4.28,24.58,0,6.16,0.46,2.11,4.91,0,0,0,0,10.36,0.94,0,8.3,1.28,0,100.32,0,1.28,0,0,0,0,0,0,0.41,0
120,2.23,0,0,1.55,17.59,0,1.56,0,0,0,0,0,0,1.34,23.48,0,0,46.46,3.31,0,128.45,0,0,0,0,0,0,19.53,0,0,0
