stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,immune,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,23.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.23,153.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.19,0,0,17.8,0,0,3.33,0,0,0,0,0,0,0,0,0,0,63.84,5.33,0,0,16.15,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,5.77,0,0,0,0,0,0,0,0,0,0,64.12,10.78,0,0,8.52,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,2.5,0,1.64,5.63,0,0,0,0.94,0,0,0.92,0,0,0.82,4.34,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.75,0,0.7,0,0.85,0,0,17.11,0,4.65,20.71,0,0,0,0,0,0,0,0,0,0,19.03,0,0,0.64,0,0
 36-46,0,0,0,0,0,0,2.5,2.44,2.62,0.62,0.58,0,0,0,36.47,0,6.16,47.01,0.57,0,0,0,0,0,0,0,0,0,11.04,0,0,0,0,0
 48-58,0,0,0,0,2.6,0,21.23,0,0,8.37,10.47,0,0,0,41.91,0.37,10.52,114.34,0,0,0.87,0,0,0,0,0,0,0,17.41,0,0,1.16,0,0
 60-70,0,0,0,0,0.71,0,155.16,0.95,0,7.65,3.64,0,0.83,0,67.52,11.04,4.46,177.97,0,1.1,0,0,0,0.64,0,0,1.71,0,14.87,0,0,5.04,0,0
 72-82,0,0,0,0,0,6,328.28,7.71,0,6.45,3.5,0,0,0,121.15,8.01,8.08,141.92,0,0,0,1.13,0,2.97,0,0,0,0,2.93,0,0.9,6.53,1.81,0
 84-94,0,0,0,0,0,0,188.98,1.9,0,2.13,7.07,0,0.56,0,79.46,4.6,10.63,155.95,0,0,0,0,2.02,1.45,0,0,5.46,0,0,1.01,0,7.02,10.89,0
 96-106,0,0,0,0,13.27,7.15,182.57,12.23,0,0,12.38,0,0,1.8,94.84,5.99,9.35,58.2,0,0,0,0,0,2.09,0,0,0,0,5.82,0,0,5.15,0.61,2.58
108-118,0,0,4.9,0,14.99,1.65,172.86,11.29,0,4.78,12.27,0,0.75,0,119.6,2.33,12.62,84.85,0,0.59,0,0,8.74,3.17,0,0.41,1.83,0,0,0.89,0,5.11,0.73,0
120,0,0,0,0,5.47,0,167.35,17.84,0,1.49,32.41,0,0,0,155.44,0,7.45,170.63,0,0,0,0,0,1.52,0,0,1.21,0,0,0,0,30.76,8.22,0
