stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,28.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.29,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.7,0,0,0,6.17,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.21,0,0,0,26.07,0,0,0,0,0,0,5.32,0,0,0,0,0
 14-21,0.89,0,0.8,50.76,36.38,2.94,0,1.98,0,0,0,34.72,27.06,2.5,0,1.53,0,0,0,0,22.1,0,57.61,140.06,9.96,8.78,0,0,0,10.31,4.39,109.39,0,20.52,388.3,0,0,0,0,0
 24-34,0,0,1.59,40.01,32.19,0,0,15.3,0.66,2.53,2.89,96.98,24.38,6.73,2.91,1.17,0,0.68,24.67,8.08,138.59,0,197.7,968.78,25.52,10.2,3.42,0,2.91,34.69,0,121.59,9.09,34.97,1070.93,0,0,20.61,0,7.67
 36-46,0,0,0.85,2.78,23.28,0,0,18.67,2.91,1.19,3.7,58.42,22.02,1.65,4.03,7.64,2.77,1.78,18.41,2.29,228.38,2.68,112.08,1044.4,31.1,10.56,1.01,0,0,38.78,0,83.36,1.67,0,721.7,0,0,22.31,0,2.44
 48-58,0,0,0.46,2.25,27.72,0,0,106.92,21.74,3.86,5.51,84.29,17.11,0.55,20,3.98,8.52,0.47,3.08,0.98,234.07,3.02,66.85,1296.79,28.26,27.2,3.12,4.77,1.12,16.82,0,39.5,5.57,3.37,400.51,0,1.25,16.28,0,3.92
 60-70,0,0,0.77,5.58,24.81,0,0,151.58,10.75,13.08,22.93,46.62,34.63,0.76,25.31,0.58,16.57,0,1.74,0.72,170.37,11.67,33.4,1412.94,4.78,24.36,4.8,0,0.84,18.26,0,39.08,2.02,0,125.13,0.77,2.73,13.28,0,8.04
 72-82,0,0,7.2,0,13.61,7.82,0,189.71,1.21,1.97,24.97,75.16,14.24,0,34.68,0.53,14.21,2.29,8.27,0,144.72,8.2,20.08,1363.23,0,13.4,13.72,0,0,18.1,0,30.93,1.05,0,92.91,1.43,6.83,23.3,4.63,11.35
 84-94,0,0,5.29,0.61,12.76,11.39,0,115.26,1.65,1.95,7.76,56.26,29.43,2.64,36.65,0.86,13.55,1.03,3.75,0,125.94,8.01,17.93,891.6,0,13.78,1.22,0,0,27.38,0,48.82,0,0,71.56,7.16,9.99,17.49,3.09,0
 96-106,0,0,2.12,0,0.85,0,0,97.61,0.58,0.61,3.18,25.57,7.72,1.65,41.8,0,6.76,1.55,2.38,0,105.73,4.52,9.93,684.86,1.27,9.34,5.78,0,3,37.41,0,18.82,0,0,22.34,2.25,1.73,16.27,4.21,0
108-118,0,0,2.52,0,15.61,3.8,15.01,130.42,0,0,3.24,53.9,3.08,3.97,39.14,0,18.86,0,2.87,2.91,86.39,0.83,10.54,937.53,0.47,17.09,1.2,0,0,12.9,0,13.94,0,0,33.36,0.51,1.8,14.86,1.55,6.35
120,0,0,2.94,0,3.83,4.66,0,133.97,0,0,9.59,30.89,7.79,5.85,79.12,0,14.2,1.54,0,1.79,76.5,23.53,13.07,1919.98,2.01,44.33,9.8,0,14.64,11.63,0,13.31,0,0,23.68,0,0,30.49,12.53,0
