stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,lateral_line,melanocytes,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vasculature
  3-4,11.62,39.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.94,0,0,0,0,0
  5-6,14.71,40.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.36,0,10.56,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.36,0,17.92,0,0,11.66,0,0,0
 14-21,0,0,0,2.38,0,0,0,0,0,0,0,0,0,0,1.58,14.01,0,0.83,0,4.93,0,6.9,0,0
 24-34,0,0,0,0,0.89,7.06,0,0,0.67,0,0,0,0,2.15,2.81,82.95,0,0,1.11,0,0.83,11.12,0,0
 36-46,0,0,0,0,0.98,9.14,0,0,0,0,0,0,0,5.14,0,46.83,0,0,0,0,0,5.61,0,0
 48-58,0,0,0,7.87,0,21.44,0,0,4.52,0.97,0,0,0,6.87,0,43.5,0.66,0,0,0,0,9.51,0,0
 60-70,0,0,0,10.34,0,10.6,0.8,0,0,0,0,1.12,0,14.21,0,18.06,0,0,0,0,0,0,0,0
 72-82,0,0,0.83,2.99,0,3.44,1.17,0.9,0.5,0,0,0,0,7.25,1.39,23.97,0,0,0,0,0,0,0.87,0
 84-94,0,0,0,0,0,2.33,0,0,0,0,0,0,0,4.7,1.6,19.64,0,0,0,0,0,3.86,0,1.49
 96-106,0,0,0,1.72,0,1.98,0,0,0,0,0,0,0.67,0,0,2.99,0,0,0,0,0,0,0,0
108-118,0,0,0,1.91,0,0.97,0,0,0,0,1.62,0,0,2.08,0,5.81,0.87,0,1.43,0,1.76,0,0,0.55
120,0,0,0,3.13,0,2.07,0,0,0,0,0,0,0,17.02,4.72,76.45,0,0,0,0,0,2.14,0,0
