stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,40.74,1059.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.23,0,0,0,0,0,0,0
  5-6,40.34,1634.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.07,0,0,0,0,6.94,0,0,0,0,0,0,0
  7-9,39.82,38.8,57.7,0,0,156.98,0,0,0,0,0,52.27,0,0,0,0,0,0,0,0,0,0,0,1399.13,43.87,0,0,498.84,4.34,10.01,0,0,0,0,0,0
 10-12,4.89,12.37,33.29,0,12.36,85.98,0,0,0,0,0,3.66,0,0,0,0,0,3.73,0,0,0,0,0,1201.98,5.29,0,0,462.11,0,0,4.61,46.44,0,0,3.51,0
 14-21,0,0,1.77,11.15,0.85,3.72,0,0,0,4.02,0.85,0,0,0,0.9,0,0,1.04,0,16.4,0,0,3.92,118.74,1.06,1.03,0,0.91,2.42,0,8.53,2.46,1.78,5.19,34.61,1.45
 24-34,0,0,0,6.77,0.73,57.12,0,0.68,0,7.63,2.19,0,0.69,0,0.61,0,0,0.81,1.49,29.97,0,0,6.6,377.92,0.7,4.49,4.82,0,3.78,0,0,0,0,1.82,62.54,9.56
 36-46,0,0,0,1.96,3.22,155.53,3.42,0,0,4.15,0.72,0,0,0,2.43,0,1.36,0,0,15.68,0,0,8.53,364.28,0.64,2.74,0.6,0,2.84,0,0,0,0,0,43.17,12.75
 48-58,0,0,0,6.89,7.64,244.88,0,0,0.97,1.87,0,0,0,0.37,2.75,0,0,0,0,38.02,0.47,1.65,4.45,183.9,2.89,2.13,1.67,0,9.01,0,0,0,0,0,37.16,0
 60-70,0,0,0,6.72,0,164.76,1.01,0,0,6.33,2.55,2.38,0,0,0,0,0.91,0,0,19.02,0,0,1.15,126.44,0.83,1.1,0,0,0.57,0,0,0,0,0,2.13,5.42
 72-82,0,0,0,3.19,1.23,62.94,0,0,0,3.87,0,0,0,0,0,0,0.61,0,0,18.45,0,1.09,1.07,34.28,0,4.04,0,0,0,0,0,0,0,0,2.88,0.74
 84-94,0,0,0,2.65,2.82,36.03,0,0,1.9,5.85,0.59,0,0,0.73,0,0,0,0,0,12.13,0,0,1.61,22.26,0,0.97,0,0,0,0,0,1.35,0,0,1.55,2.97
 96-106,0,0,0,0,0,18.63,0.57,0,0,14.76,0,0,0,0,0,0,0.84,0,0,8.51,0,0,0,10.75,0,0,2.17,0,0,0,0,0,0,0,0,4.7
108-118,0,0,0,0,1.96,19.05,0,0,0,8.23,0,0,0,0.41,0,0.94,0.87,0,0,7.05,5.97,3.25,4.27,22.26,0,2.8,0,0,2.4,0,0,0,0,0,2.43,0
120,0,0,0,9.15,1.14,59.88,0,0,0,22.36,0,0,0,2.03,3.52,0,0,0,0,7.82,0,0,3.08,74.05,0,1.99,0,0,0,0,0,0,0,0,0,0
