stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,liver,mesenchyme,muscle,neural,olfactory,otic,periderm,slow_muscle,spinal_cord,vasculature
  5-6,17.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.79,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05,0,0,0,0,3.51,0
 36-46,0,0,0,0,0,1.31,0,0,0,0,0,0,0,0,0,0.67,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,30.62,0,0,1.29,0,0,0,0,0,0,0,0
 72-82,0,1.21,0,0,0,3.94,0,0,0,0.86,95.67,1.58,0,0,0,14.22,0,0,0,0,0,0
 84-94,0,6.36,0,0,0,1.91,0,0.56,0.89,0,496,0,0,2.34,0,5.18,0,0,0,0,0,0
 96-106,0,0,0,0,0,8.2,0,0,0,14.53,645.87,0,13.4,3.75,0,57.17,0.6,0,1.14,0,0,0
108-118,0,0,0.65,0.59,0,8.27,2.37,0,0.45,1.87,1677.88,0,0,1.42,1.59,18.72,0,0.58,11.09,0.43,0,17.83
120,0,0,28.34,0,1.71,9.63,0,1.16,0,0,1025.83,7.08,0,17.21,0,21.93,0,0,1.23,0,0,46.11
