stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,41.35,499.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.74,0,0,0,0,0,0,0,0,0,0
  5-6,31.97,634.22,12.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.85,13.91,0,0,18.65,7.68,0,0,0,0,0,0,0,0,0,0
  7-9,38.12,4.87,20.34,0,0,36.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424.13,19.61,0,0,141.76,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,20.18,35.5,0,6.59,34.97,0,0,0,0,4.53,0,0,0,0,0,0,0,0,0,0,393.43,18.52,0,0,185.56,0,0,14.42,0,0,0,0,0,0,0,0
 14-21,0,0,1.84,29.97,3.84,11.79,0,0,1.21,0,0,0.89,0,0,0,0,2.33,10.69,0,0,8,202.86,11.52,3.37,3.24,1.79,4.43,33.31,2.48,9.07,13.11,76.16,0,0,0.89,0,0
 24-34,0,0,0.6,5.78,2.83,24.04,0,0,2.57,0,0,0,0,0,0,0.62,3.58,25.39,0,0,7.23,276.51,0,5.78,0.68,0,3.43,0,0,0,2.09,56.3,0,0,12.08,0,0
 36-46,0,0,0,1.48,0,40.91,0,2.15,10.74,0,0,0,1.15,0,0,0,0,23.3,0.63,0.92,6.13,327.95,2.63,2.64,0.8,0,3.01,0,0,0,0,69.75,0,0,1.57,0,9.56
 48-58,0,0,0,0.43,0,79.88,5.98,0.68,30.79,0.56,0,0,0,0,0,0.74,0,30.83,0,0,2.72,196.53,0,2.04,3.33,0,9.71,0,1.52,0,0,42.75,0,0,1.22,0,1.56
 60-70,0,0,0,2.15,0,139.81,0,4.11,25.79,0,0,0,0,0,1.51,0,0,33.01,0,0.93,2.92,226.12,0,3.04,0,0,15.58,0,0,0,0,28.9,0,0.82,5.46,0,0
 72-82,0,0,0,5.24,2.69,95.76,0,1.91,28.75,1.71,0,1.78,0.52,1.16,0,1.44,0,33.68,0,0,10.82,112.16,0,1.61,1.43,0,1.68,0,0,0,0,11.65,0.87,0.66,0,0.77,0
 84-94,0,0,0,1.4,16.09,56.33,0.68,0,11.97,0,0,0.88,0,0,0,0,0.57,40.67,1.51,2.86,0,116.73,0.64,0,1.05,0,8.61,0,0,0,0,11.12,0,3.35,2.01,0.78,0
 96-106,0,0,0,5.53,1.15,43.27,0,0,29.97,0.73,0,0.75,0,1.56,0,0,0.99,28.61,0,0,3.54,66.25,7.15,3.05,0,0,8.82,0,0,0,0,0.86,0,3.01,8.49,0.8,0
108-118,0,0,0,6.22,1.44,56.46,0,2.91,18.28,0.64,0,3.23,0.61,1.17,0.53,0,0.6,29.42,0,0,2.49,104.42,0,1.84,0,0,5.55,0,0,0,0,4.19,1.47,0,9.05,0.57,1.18
120,0,0,0,4.2,0,21.05,0,0,11.77,2.96,0,0,3.28,0,0,8.32,0,15.33,0,14.27,4.94,147.83,0,0,2.38,0,19.55,0,1.47,0,0,11.96,0,5.94,8.5,0,0
