stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,184.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,0,0,0,0,0,0,0,0
  5-6,0,173.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.28,0,7.85,0,0,0,0,0,0,0,0
  7-9,0,3.29,0,4.32,0,0,0,0,0,0,0,0,0,4.94,0,0,0,0,0,0,0,0,0,0,91.21,0,0,0,62.22,0,4.34,0,0,0,0,0,0,0,0
 10-12,0,0,0,19.34,0,8.02,0,4.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.87,0,0,0,48.88,0,0,4.5,0,0,0,0,0,0,0
 14-21,0,0,0,2.91,0.84,263.72,0,0,0,0,0,0,3.33,0,11.1,0,0,0,0,0,0,24.49,0,7.57,20.98,2.6,0,0,2.83,0,1.42,0,3.82,2.29,22.54,0,206.47,0,0
 24-34,0,0,0,3.74,0.67,37.86,0,7.95,0,0,0,22.45,0.64,0,30.26,0,0.95,0,0,0,0,113.17,0,23.78,125.94,0.61,0,0,0,0,2.33,1.72,0,0,24.07,0,1128.41,0,0
 36-46,0,0,0,0,0,23.19,0,2.7,0,0,0,9.41,0.95,0,19.02,0,0,0,0,0,0,173.41,1.72,40.91,138.12,0,0,0,0,0,5.98,0,0,0,13.45,0,870.43,0,0
 48-58,0,0,0,0,0,2.76,0,10.26,6,0,0.41,8.42,0,0,26.59,0,0,0,0,0,2.23,214.79,0.53,20.99,101.23,0,1.15,0.61,0,0,0.56,0,0,0,14.15,0,742.9,0,0
 60-70,0,0,0,0,0,10.02,0,27.65,0,0,2.4,10.51,0,0,31.89,0,0,0,0,0,0,178.61,2.81,13.82,61.8,0,0,0,0,4.32,5.25,6.03,0,0,9.37,1.27,663.54,0,0
 72-82,0,0,0.61,0,0.69,0.57,0,17.45,0,0,2.34,32.83,0,0,27.21,0,0,5.75,0,0,0,156.11,0,14,76.09,0,6.8,1.1,0,10.82,1.17,0.5,0,0,18.74,4.78,1514.57,0,2.33
 84-94,0,0,0,0,2.37,3.82,0,9.14,0,0,4.18,10.12,0.7,0,24.84,0,0,0,0,0,0,141.69,8.68,10.12,36.05,0,0,0.95,0,5.27,0,0,0,0,25.82,4.3,1105.6,0.57,0
 96-106,0,0,0,0,2.19,38.1,0,13.1,0,0,8.37,17.68,0,0,25.12,1.94,0,0,0,0.68,0,97.02,4.88,6.2,45.09,0,0,0.79,0,1.6,0,4.84,0,0,36.21,8.74,1553.53,6.8,0
108-118,0.78,0,0,0,2.12,20.62,0.72,34.05,0,3,5.87,9.15,0,0,13.67,1.26,0,0,0,1.81,0,114.19,2.45,9.24,38.8,0,0,0.73,0,3.33,0.95,7.82,0,0,28.66,1.31,1400.86,5.91,0
120,0,0,0,0,2.11,0,0,15.38,0,0,0,0,0,0,11.69,0,0,0,3.38,0,0,172.84,1.41,5.66,6.32,0,0,0,0,19.05,1.14,0,0,0,16.86,2.09,1798.48,9.78,0
