stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,66.84,3063.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.88,0,0,0,0,0,0,0
  5-6,28.62,1487.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.7,0,0,28.73,8.78,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,24.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.62,0,0,25.71,0,6.2,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.7,0,0,18.58,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.83,1.32,0,0.87,0,0,0,0,25.66,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0.91,0,2.68,0,0,0,0
 24-34,0,0,0,6.08,0.83,0.8,2.09,0,0,1.31,0,47.12,0,0.63,0,0,3.52,0.65,0,0,0,5.43,0,0,0,0,0,0,0,0,0,16.72,0.7
 36-46,0,0,0,0,9.95,0,0,0,0,0,0,124.09,1.79,0,0,0,7.97,0.66,0,0,0,1.44,0,0,0,0,0,1.69,2.81,0,0,12.61,0
 48-58,0,0,0,3.05,0,4.21,6.93,0,0,0,0.48,76.2,0,4.13,0,0,7.73,2.45,0,4.16,0,13.83,0,0,0,0.38,0,0,0,0,0,4.44,2.53
 60-70,0,0,0,10.38,0,9.28,12.89,0,2.2,0.77,0,203.17,0.62,5.28,0,6.39,0.73,0,0,0,0,9.86,0,0,0,1.48,0,0,0,0,0,10.47,4.33
 72-82,0,0,0.98,6.38,0,4.66,7.2,0,1.78,1.16,1.07,94.37,0.75,1.66,0,0,0,5.3,0,0,0,4.38,0,0,0,0,0,0,0,0,0,1.69,19.16
 84-94,0,0,0,16.63,0,0.7,2.78,0,2.45,3.51,0,181.62,0,6.52,0,0,0.71,0,0,0,1.68,1.72,0,0,0,0.6,0,0,0,0,0,6.06,2.87
 96-106,0,0,0,14.94,0,7.7,0.6,2.05,1.46,7.8,0,165.26,0.86,0.64,0,0,2.33,1.82,0,0,0,4.14,0,0,0,0.74,0,0,0,0,0.93,25.38,33.2
108-118,0,0,0,21.59,0,0.85,4.41,0,2.59,8.29,1.02,158.87,0,1.65,0.76,1.92,1.43,0.69,0,0,0,13.7,1.34,0.56,0,0,0,0,0,0.6,0,3.67,0
120,0,0,0,45.75,0,4.38,4.34,0,0,5.82,0,250.89,0,0,0,14.1,0,8.06,3.35,0,0,7.45,0,0,0,2.88,0,0,0,0,0,15.77,7.48
