stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,1959.48,33943.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1117.12,0,0,0,0,0,0,0
  5-6,2659.7,33534.8,41.18,0,0,0,0,0,0,7.74,0,0,0,0,0,359.94,46.8,0,0,103.16,413.41,0,0,0,0,0,0,0
  7-9,117.13,214.33,140.26,0,0,220.89,0,0,0,79.52,0,0,0,0,0,4624.03,124.29,0,0,1341.63,9.78,116.01,0,0,0,0,0,0
 10-12,0,23.12,26.72,0,0,35.9,0,0,0,9.73,0,0,0,0,0,316.77,35.66,0,0,92.39,0,9.84,0,3.64,0,0,0,0
 14-21,0,0,1.03,16.06,2.92,1.21,0,0.97,0.9,0,0,0,2.24,0,1.83,42.62,2.67,0,1.82,0,6.55,1.27,15.78,0,9.81,14.54,1.03,0
 24-34,0,0,0,3.22,0,2.98,0,2.06,0,0,0,4.69,0.69,0,2.4,20.15,1.07,0,0,0,3.45,0,0,0,0,5.14,0.67,0
 36-46,0,0,0,0,0,2.69,0,0,0,0,0,0,2.47,0,0,24.71,0,2.69,0,0,2.31,0,0,0,0,0.75,0,0
 48-58,0,0,0,0.95,0,7.3,0,0,0.61,0,0,0,0,0,0,13.42,0,0,0,0,3.15,0,0,0,0,0,0,1.31
 60-70,0,0,0,0.84,0,4.09,0,0.82,1.66,0,0,0,0.75,0,0,5.97,0,1.44,0,0,4.24,0,0,0,0,0,0,0
 72-82,0,0,0,0,2.46,8.14,0,0.82,2.03,0,0,0,0,0.91,0,4.31,0,0.58,0,0,0.61,0,0,0,0,0,0,0
 84-94,0,0,0,2,0,0,0,0,0,0,1.09,0.73,0,0,0,6.45,0,0,0,0,9.25,0,0,0,0,1.04,0,0
 96-106,0,0,0,1.6,0,6.13,3.4,0,0,0,0,0.66,14.09,3.12,0,16.35,0,3.09,1.39,0,6.89,0,0,0,0,0,0,0
108-118,0,0,1.47,0.86,0,3.04,0,1.08,0,0,0,0,2.48,1.43,0,0,0,2.59,0,0,5.46,0,0,0,0,0,0,0
120,0,0,0,6.02,0,1.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0,0,0,0
