stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,taste
  3-4,28.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,50.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.49,0,0,9.49,0,0,0,0,0
 10-12,0,0,7.71,0,0,0,0,0,0,0,0,0,0,0,0,0,79.35,0,0,0,0,0,0,0,0
 14-21,0,0,0,21.31,0,0,0.88,0,0,0,0.82,0,0,0,0,0,0,1.08,0,0,2.9,0,0.89,0,0
 24-34,0,0,0,6.84,0,0,3.45,0.74,0,0,3.68,0,0,0,0.68,0,6.23,4.25,1.5,0,17.77,1.06,2.86,0.9,0
 36-46,0,0,0.56,1.07,7.25,1.22,0,0,0,0,0.65,1.61,0,0,0,0,25.71,0.75,0,0,11.36,0,0.58,0,0
 48-58,0,0,0,6.01,0,0.67,3.59,0,2.79,0,0.38,0.46,2.1,0,4.25,0,6.67,10.64,2.43,0,16.25,0,0,0,0
 60-70,0,0,0,11.24,0,0,5.97,0,0,0,0,0,0,0,0,0,0.64,3.57,1.83,0,11.9,0,1.68,0,2.14
 72-82,0,0.87,0,8.4,0,0,1.41,2.28,0,0,0.64,0.94,0,0,2.74,0,3.83,13.14,0.58,0,3.19,0,0,0.99,0
 84-94,0,0,0,8.89,0,1.1,12.47,4.56,0,0,4.82,1.77,0.57,0,7.51,0,9.18,6.3,1.83,0,26.82,0,0,0,5.18
 96-106,0,2.13,0,32.25,0,0,2.9,14.31,0,0.58,3.3,5.66,0,0,5.89,0.59,6.29,34.88,7.91,0,12.95,0,0,0,25.08
108-118,0,3.68,0,39.02,0,0.87,5.4,17.93,0,0.7,6.35,6.44,1.91,0,2.25,0,8.19,7.5,8.18,0,21.91,0,0.64,0,19.26
120,0,0,0,41.41,0,0,7.72,24.1,0,0,8.89,7.28,0,10.03,3.35,0,2.87,16.17,0,0,11.28,0,3.24,0,35.23
