stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.24,183.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.44,67.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,19.39,6.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.91,4.79,0,0,7.43,0,0,6.94,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.65,0,28.36,0,0,4.6,0,0,0,0,9.06,0,0,0,0,0,0,0,0,0,0,0,189.05,0,0,0,59.15,0,0,0,0,11.49,0,0,5.32,0,0,0,0,0
 14-21,0,0,0,2.17,15.27,0,4.76,0,0,1.32,0,3.33,0,0,0,0,0,0,0,2.65,0,0,1.02,58.41,0.95,1.1,0,0,0,5,0,5.08,0.86,0,2.03,35.54,0,0,0,0,0
 24-34,0,0,1.65,0.76,3.82,0,27.55,1.01,0.67,5.36,0,6.33,0.85,0,0.89,0,0,0,1.19,20,0,0,7.64,174.31,0.83,2.83,1.33,0,0,6.35,0,0,1.09,0,1.98,30.8,0,0,0.79,0,8.43
 36-46,0,0,0.69,0,4.56,0,23.91,0,1.29,9.34,0,0,1.47,0,0,0,0.67,0,0,23.59,0,0.8,1.52,206.48,0,3.61,2.51,0,0,3.31,0,0,0.6,0,0,61.9,0,0,5.43,0,3.56
 48-58,0,0,0,0,2.38,0,78.9,0,0,39.9,0,0,0,0,0.43,0,0.86,4.36,0,40.02,0.57,2.04,10.44,172.14,0,1.19,2.08,0,0,0.98,0,0,0.53,0.4,0,48.3,0,0,0.51,0,6.13
 60-70,0,0,0,0,0.72,0,96.97,0,3.85,19.43,1.49,0,3.33,5.7,0,0,0,1.37,0,22.91,0,0,0,115.4,0,3.1,2.12,0,0,1.33,0,0,0,0,0,11.71,0,0,2.93,0,0
 72-82,0,0,1.41,0,5.54,0,112.63,0,5.29,37.68,0,0,0.56,0,0.66,0,0,2.42,0,49.44,0.82,0.56,5.64,102.87,0,3.02,3.56,0,0,5.59,0,0,0,0.53,0,9.51,0.87,2.41,2.62,3.97,1.18
 84-94,0,0,0,0,0.67,0.74,63.73,0,0,16.25,3.67,0,0,0,0.76,0,0,10.9,0.56,43.05,0,1.14,4.71,83.1,0,0,1.89,0,0,7.41,0,0,0,0,0,5.31,0,0.62,1.73,0.82,1.57
 96-106,0,0,0,0,9.9,0,38.9,0,1.4,24.55,2.42,0,1.28,3.17,0,0,0,0,0.69,41.73,0,3.55,1.92,54.28,0,2.57,5.08,0,1.51,3.44,0,0,0,0,0,9.2,0,2.43,5.22,0.69,0
108-118,0,0,0,0,4.11,1.5,69.49,0,3.1,20.64,1.73,0,0,4.19,0.93,1.11,0.92,0.5,0,33.29,0,2.67,3.55,90.58,0,4.37,3.16,0,0.76,6.35,0,0,0,0,0,0,0.42,0.56,0,1.04,0.68
120,0,0,0,0,4.08,0,31.07,0,0,48.9,0,0,0,5.69,1.25,0,0,0,0,30.29,1.1,0,1.56,81.5,0,0,2.08,0,0,2.42,0,0,0,0,0,0,5.5,0,0,0,11.4
