stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,xanthophores
  3-4,14.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.12,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,7.81,4.02,1.76,0,3.1,1.79,0,0,0,0,6.72,0,3.2,91.2,0,0,0,2.66,1.06,15.38,0,10.81,19.06,0,0
 24-34,0,3.07,1.61,19.85,0,10.21,0,0,0,2.7,0.95,10.04,0,2.93,136.98,1.55,0,1.72,0,9.03,0,0.85,0,40.77,0,0
 36-46,0,12.09,0,29.85,0,4.13,0,0.99,0,0,0,3.87,0.55,0.7,118.07,0,0,0,0,2.04,0,0,0,19.35,0,1.16
 48-58,0,0,0,34.1,0,5.4,0,0,0,0,0,1.59,0,0.38,35.87,0,3.55,0.38,0,14.69,0,0,0,11.15,0,0
 60-70,0,5.07,0,26.31,0,1.95,0.77,0,0,0,0,4.61,0,0,15.99,0,4.45,0,0,2.04,0,0,0,11.79,0,0
 72-82,0,0,0,8.88,0,5.89,0,0,2.2,0,0,0.56,0,0,39.44,0,0,2.21,0,1.62,0,0,0,1.53,0.51,0
 84-94,0,1.34,0,2.89,0,1.2,0.57,0,0,0,0,3.93,0,0,0.56,0,0,0,0,1.36,0,0,0,1.85,0,0
 96-106,0,0.93,0,4.85,0,0,0,0,0,0,0,0,0,0,16.03,0,0.6,0,0,1.16,0,0,0,0,0,0
108-118,0,0,0,7.97,0.42,0,1.32,0,0,0,0,0.53,0,0,9.35,0,0,0,0,0,0,0,0,3.25,0,0
120,0,0,0,36.85,0,15.9,0,0,0,1.84,1.23,2.28,0,0,5.32,0,0,0,0,0,0,0,0,0,0,0
