stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,20.14,0,0,0,0,0,0,0,0,0,4.72,0,0,0,0,0,0,0,0,0,0,0,17.04,0,0,0,5.42,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.95,0,0,0,0,0,0,0,23.07,0,0,0,0,0,0,0
 14-21,0,2.44,0,1.17,7.24,0,3.45,0,0,0,6.55,0,0,0,0,0,0,0,5.59,1.2,0,0,0,0,16.31,0,7.67,0,0,0,0,1.24,1.22,0.88,0.94,17.39,0,0,0,0
 24-34,0,0.84,0,0,0,0,15.75,0,0,0,5.43,0,0,0,0,0,0,0,1.56,6.87,1.68,0,0,0.91,130.83,0,8.92,1.32,0,0,0,0,3.4,4.13,0,31.17,0,0,0,5.25
 36-46,0,0,0,0,0,0,20.08,0,0,0,1.96,0,0,0.93,0,0,0.61,0,0,9.36,0,0,0,0.63,424.04,0,24.39,3.11,0,0,1.69,0,5.95,0,0,45.68,0,3.86,0,5.07
 48-58,0,0.44,0,1.25,0,0,140.8,1.38,0,0.58,10.82,0,0,0,0,0,0.46,0.59,0,14.48,6.28,0,0,1.61,548.35,0,9.51,3.08,0,0,0,0,0,4.92,0,84.11,0,0,0,0.8
 60-70,0,0,0,3.38,0,0,531.89,0,0,0,12.59,0,0,0,0,0,0.93,1.77,0,0,3.27,0,0.65,2.27,1089.78,2.75,12.34,2.84,0,0,0.61,0,1.06,2.12,0,65.18,0,0,0,2.95
 72-82,0,3.88,0,13.37,2.08,0,487.69,0,0,0,28.2,0,0,0,2.57,0,0,0,0,0,26.63,1.01,0,0,947.87,0,16.56,4.55,0,0,0.95,0,0,0,0,71.86,0,0,0,4.27
 84-94,0,2.49,0,7.55,0,0,399.54,0.64,0,0,19.27,0.93,0,0,1.61,0.8,1.34,0.83,0,5.05,39.57,0,8.07,2.89,539.26,0,7.83,8.54,0,0,3.67,0,5.09,0.62,0,54.84,0,1.06,0,0
 96-106,0,0,0,3.61,4.87,0.63,278.66,1.27,0,1.42,19.46,0.6,0,0,1.3,0,0,3.62,0,0.65,12.39,0,0,3.81,419.57,0,12.94,10.31,0,1.16,0,0,0.63,0.84,0,14.19,0,0,1.16,4.28
108-118,0,2.3,0,7.64,0,0,220.02,0,0.52,1.17,19.57,1.03,0,2.18,0,0,2.95,0,0,1.1,14.14,0,0,0,579.55,0,11.25,9.64,0,0,3.45,0,0,0,0,18.72,0.96,0.86,0,1.8
120,0,3.9,0,4.48,0,0,217.49,4.48,1.09,0,36.31,1.92,0,0,5.99,0,0,5.58,0,1.55,32.85,0,0,0,829.72,0,39.13,8.31,0,1.79,1.8,0,0,1.63,0,15.77,0,0,0,0
