stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,neural,olfactory,periderm,presomitic.mesoderm,pronephros,vasculature
 14-21,0,0,1.54,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0,0,1.03,1.76,0
 24-34,0,0,0,0,0,0.68,0,0,0.89,0,0,0,0,0,0,0,2.13,0,1.41,0,11.67,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,6.74,5.36
 48-58,0,0,2.34,0,0,3.59,0,0,4.88,1.54,0,0,0,5.49,0,0.51,10.61,0,0,0,0.86,0
 60-70,0,0,0,0,0,2.88,0,0,0,0,0,0,0,0,0,0,6.06,0,0,0,5.52,0
 72-82,0.5,0,0,0,0,0,0,0,0,0.54,0,0,0,0,0,0.56,2.89,0,3.18,0,4.43,3.17
 84-94,0,0,0,0,0,1.33,0.75,0.56,0,0,1.45,0,0,0,0,2.88,33.01,0,0.78,0,7.18,0.6
 96-106,0,0,0.71,0,0,5.57,0.81,0,0,6.66,0,0,0.61,0,0.69,5.17,20.35,0,15.85,0,7.1,5.04
108-118,0.8,1.06,3.96,0,0.5,2.14,0,0.5,0,7.72,0.88,0.54,0.62,0.95,0,0,13.21,0,7.51,0,6.79,0
120,0,0,1.05,0,0,1.48,0,0,0,18.12,0,0,0,0,0,0,28.94,1.45,21.2,0,11.18,1.51
