stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,28.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,3.84,0,0,0,0,0,0,0,0,10.47,0,10.16,0,0,0,0,0,0
 10-12,0,0,0,0,4.61,0,0,0,0,0,0,0,0,25.87,0,19.42,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0.83,0,0,0,0,0,2.69,2.66,0,0,0,0,1.18,5.02,0,0
 24-34,0,0.68,0,0,0.8,0,0,0,0,0,0,0.68,0,2.75,0,0,0,0,0,11.65,0,0
 36-46,0,0,0,0,4.26,1.6,0.87,0,0,0,0,3.13,0,24.73,0.72,0,0,0,0,10.78,0,0
 48-58,0,0,0,0,7.11,0,1.38,0,0,0,0,0.76,0,13.85,0,0,0,0,0,3.15,0,0
 60-70,0,0,0,0,7.55,0,0,0,0,0,0,1.56,4.75,18.09,0,0,0,3.48,0,1.03,0,0
 72-82,0,0,0,0,54.33,0,1.56,0,0,0,0.64,2.98,0,13.3,0,0,2.73,0,0,8.19,0.6,0.75
 84-94,0,0,0,0,57.82,0,4.16,0,0.58,0,1.05,9.77,0,3.08,0,0,0.55,0,0,4.04,0,0
 96-106,0,0,1.09,3.93,71.08,0,9.19,0.85,0,0,0,6.92,0,25.62,0.59,0,0,0,0,0,0,0.87
108-118,0,0,0.42,0,112.76,0,5.29,0,0,0.43,0.91,14.62,2.3,23.17,0,0,0,0,0,0,0,0
120,0,0,2.51,0,169.14,0,0,0,0,0,0,18.06,0,68.28,1.43,0,0,0,0,0,0,0
