stage,blastomeres,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle
  3-4,14.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.66,0,8.68,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.04,0,0,0,0,0,0,0,0,0
 14-21,0,17.58,0,0,100.96,0,0,0,0,0,0,0,0,0,0,13.99,0,0,0,0,1.19,0,0,0,0,0
 24-34,0,16.1,0,0.64,578.47,0,0,0,0,0,0,0,58.61,0,0,34.01,7.13,0,0,0,0,0,0.62,0,0,0
 36-46,0,44.77,0,1.41,415.81,10.32,0,0,0,0,0,0,180,8.12,0,70.61,10.91,0,0,0,0,0,2.82,0,0,0
 48-58,0,41.83,0,5.43,255.55,14.69,0,0,0,0,0,0.53,325.87,0,0,86.67,13.66,0,0,0,0,0,3.19,0,3.24,0
 60-70,0,37.59,0,9.97,226.68,6.16,2.05,0,0,0,14.27,4.68,667.46,0,11.13,106.86,15.26,0,0,2.07,0,0,4.63,0,12.97,0
 72-82,0,22.89,0,29.48,39.87,23.21,6.64,0,0,0,0,15.92,820.72,1,2.85,103.58,20.17,1.21,0,3.66,0,0,1.13,0,12.16,3.71
 84-94,0,106.51,0,25.95,65.51,25.77,4.55,0.62,0,0,44.59,5.64,847.84,0.57,7.71,124.21,1.66,3.23,0,2.93,0,0,4.33,0,9.3,5.25
 96-106,0,56.37,0.92,21.06,60.42,23.63,4.04,0,2.28,0.63,16.6,9.85,833.21,0,9.75,86.98,77.16,19.32,0,9.11,2.09,0,8.35,0,16.58,2.37
108-118,0,63.08,0,13.9,81.78,10.11,8.48,0,0,0,22.83,11.73,830.08,0.72,18.16,79.08,46.45,1.49,0,11.56,1.94,0.44,0.55,1.01,22.43,1.97
120,0,95.25,0,30.66,16.87,4.93,0,0,0,0,0,3.83,1057.86,1.13,31.98,79.1,66.38,0,0,0,3.7,0,8.58,2.31,4.13,3.35
