stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,344.9,5649.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.31,0,0,0,0,0,0,0,0,0,0,0
  5-6,204.48,2892.06,0,24.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.5,0,0,0,0,0,28.28,0,0,0,0,0,0,0,0,0,0,0
  7-9,28.64,11.19,0,25.62,0,0,0,51.69,0,0,0,0,0,15.02,0,0,0,0,0,0,0,0,0,658.99,37.34,0,0,98.42,0,0,16.35,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.66,0,35.58,0,0,0,50.18,0,0,0,0,0,13.9,0,0,0,0,0,0,0,0,0,585.04,36.34,0,0,161.15,0,0,8.97,0,18.91,0,0,13.42,0,0,0,0,0
 14-21,0,0,1.09,4.59,15.69,8.22,0,5.76,0,0,0,16.8,1.08,0,0,0,0,0,5.47,28.89,0,0,18.11,98.7,13.07,0,0,1.07,0,3.29,4.79,8.05,2.68,0.99,1.39,66.53,0,0,1.16,0,0
 24-34,0,0,0.84,2.08,20.56,0,0,14.73,0,1.85,0,8.48,0,0,0.68,0,0,0.68,16.66,111.47,0,0,28.4,68.7,11.96,0.77,11.03,0,0,1.27,0,0,16.39,0.66,1.41,45.28,0,0,10.57,0,0
 36-46,0,0,0,0,8.41,0,0,15.11,0,0,5.4,2.41,0,0,2.23,0.98,0,0,3.73,157.2,0,0.68,22.46,59.59,32.61,0,13.41,0,0,1.81,0.81,0,5.87,0,0,21.99,0,1.37,4.49,0,0
 48-58,0,0,0,0,12.8,0,0,44.74,0.99,0,3.43,3.96,0,2.99,3.13,1.63,0.39,0.66,10.44,222.83,0.57,6.28,16.39,33.28,18.18,0.72,23.59,0,0.56,0,0,0,0.92,0,0,16.6,0,0.4,4.85,0,0
 60-70,0,0,0,0,2.1,0,0,46.39,0,0,8.05,17.88,0.85,0,1.76,0,0,2.2,18.46,331.9,0,3.48,25.73,41.4,21.46,0,18.03,0,0,2.55,0,0,4.94,0,0,10.29,0,3.6,7.04,0,0
 72-82,0,0,0,1.12,8.62,0,0,59.39,0,0,19.32,28.32,1.95,0,6.26,0,2.96,0.71,40.07,472.21,0.66,3.38,23.82,36.48,23.31,0.63,38.53,0,3.2,2.34,0,0,9.48,0,0,9.77,0,3.49,16.96,6.24,0
 84-94,0,0,0,0,12.47,0,0,64.51,1.34,0,10.29,4.44,1.38,0,6.16,1.16,6.63,0,161.99,341.48,0,6.25,20.07,37.95,32.54,1.17,57.46,0,3.75,2.35,1.4,0,9.88,0,0,11.92,0,6.11,32.65,10.05,1.69
 96-106,0,0,1.11,0,8.63,7.45,1.07,59.03,1.64,0,9.21,30.4,3.59,0,1.3,2.18,1.32,0,263.32,304.19,0.7,0,25.34,42.76,30.22,8.08,60.98,0,0.83,5.55,0,0,6.48,0.62,0,3.61,0,4.07,24.17,3.62,0
108-118,0,0,0,0,6.44,0.41,1.94,75.2,0,0,10.05,19.43,15.27,0,3.34,0.95,7.36,0.63,438.73,324.3,4.39,9.6,7.15,57.36,58.07,0,51.92,0,1.57,1.88,0,0,9.66,0,0,3.61,0.55,10.06,32.82,3.81,1.42
120,2.37,0,0,0,2.53,2.37,0,33.05,0,2.08,1.92,32.2,3.76,0,3.06,1.75,0,0,206.15,317.76,0,4.76,2.99,54.51,110.28,0,81.39,0,0,2.03,0,0,7.22,0,0,2.54,1.9,3.24,20.06,11.09,15.11
