stage,blastomeres,epidermis,eye,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,19.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,47.03,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0.96,0,0.81,0,0,0,0,7.65,0,0,0,0,0.95,2.26,0,0,0,0,0
 24-34,0,1.33,1.49,0.86,0,0,0,0,0,0.96,0,3.68,22.55,0,0,0,2.22,0,0,6.07,0,0,0,0
 36-46,0,0.63,2.13,0,1.94,0,0,0,0,7.32,0,0,42.55,0,0,0,0,0,0,5.62,0,0,0,2.51
 48-58,0,0,14.04,0,2.27,0,4.82,0,0,1.61,0,0,32.4,0,0,0.38,0.63,0,0,6.32,0,0,1.86,0
 60-70,0,5.19,11.17,0,7.18,0,0,0.6,0,3.75,0,1.42,16.62,0,0,4.77,0,0,0,14.59,0,5.55,0,0
 72-82,0,0,12.25,0,3.67,0,0,0,0,6.24,0,0,22.11,0,0,0,1.75,0,0,2.56,0,0,0.7,0
 84-94,0,0,8.76,0,2.02,0,0,0,0,7.97,1.13,0,14.18,2.03,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,3.11,0,5.03,0,0.62,0,0,0,0,0,11.98,0,0,0,0,0,0,0,1.02,0,0,0
108-118,0,0,8.99,0.62,2.76,0,0,0,0,0.84,1.5,0.92,11.74,0,7.65,4.31,0.58,0,0,2.4,1.13,0,0,0
120,0,0,24.17,0,0,0,0,0,2.07,10.63,0,1.79,56.27,0,0,0,1.24,0,0,4.09,0,0,0,0
