stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,710.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.04,0,0,0,0,0,0,0,0,0,0
  5-6,48.02,1274.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2,0,0,0,0,182.6,0,0,0,0,0,0,0,0,0,0
  7-9,7.47,28.16,0,18.7,0,0,0,34.82,0,0,0,0,23.04,0,0,0,0,0,0,0,0,0,0,3498.39,0,0,0,103.47,40.07,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.52,0,0,0,13.97,0,0,0,0,12.37,0,0,0,0,0,0,0,0,0,0,1284.69,0,0,0,103.94,11.61,0,0,7.73,0,0,0,0,0,0,0
 14-21,0,0,0,3.72,351.88,1.71,0,1.77,15.36,0,0,12.68,0.86,0,0,0.96,0,0,0,0,2.11,0,0.83,42.73,0,0,0,0,89.77,0,2.16,0,0,30.3,0,0,0.98,0,0
 24-34,0,0,0,4.07,263.68,0,0,4.83,42.83,0,0.89,4.18,3.87,1.04,0,1.19,0,9.3,3.48,7.55,8.73,0,3.2,126.79,0.67,3.08,0,0,275,0,0,2.44,0,15.19,0,0,4.07,0,0
 36-46,0,0,0,0,113.03,0,0,9.21,40.39,0,0,2.56,1.08,0,1.52,0,0,5.51,1.55,5.12,0,0,0.7,120.91,1.32,1.43,0.66,0,298.78,0,0,0,0,21.57,0,0,0,0,0
 48-58,0,0,0,0,55.67,0,0,20.11,17.52,0.95,8.48,2.56,24.95,0,0,0,0,3.29,2.79,3.59,3.84,0,0,125.52,1.68,2.39,0,0,240.3,0,0,0,0,37.92,0,0,0,0,0
 60-70,0,0,0,0,43.85,0,0,32.85,20.29,0,1.55,5.93,7.86,0.6,0,0.92,0.93,2.84,0,5.76,0,0,0,87.21,0.75,1.16,1.79,0,193.94,0,0,6.55,0,17.97,2.47,0,0,0,0
 72-82,0,0,0.69,0,23.01,0,0,72.39,11.61,0,5.36,20.58,4.84,0,0,1,0,6.98,0,12.1,0,0,0,86.49,4.09,1.4,0,0,129.47,0,0,5.01,1.5,11.62,6.73,0,0,0,0
 84-94,0,0,2.21,0,45,0.65,0,61.31,19.66,1.7,1.5,31.89,8.08,0,0.75,5.89,0,3.46,0,5.13,1.83,0,0,64.86,0,0.83,0,0,303.66,0,0,0.62,0,5.15,19.3,0.64,0,0,0
 96-106,0,0,2.65,0,57.84,4.93,0.63,53.86,17.14,0,5.33,33.03,1.32,0,3.39,3.01,0,8.59,0,9.43,1.59,0,5.67,75.1,1.43,12.06,0.85,0,257.85,3.82,0,0.7,0,11.7,36.3,0,0,4.24,4.81
108-118,0,0,1.58,0,70.75,0.96,0,76.05,42.16,0.73,1.44,40.12,0,0,0,4.38,0,4.74,2.06,15.56,2.84,0.63,0,90.19,7.88,1.52,0,0,294.47,0,0,3.72,0,2.26,52.17,0,0,0,0
120,0,0,12.99,0,134.78,0,2.19,73.41,28.36,0,5.09,56.83,0,2.11,0,5.77,6.33,1.12,0,8.49,3.02,2.51,0,132.32,26.05,11.9,0,0,212.56,0,0,0,0,15.9,15.98,0,0,0,0
