stage,axial,blastomeres,epidermis,eye,glial,gut,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,otic,pericytes,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,14.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,26.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.08,0,0,6.46,0,0,0,0,0,0,0,0,0,20.85,0,0,0,5.5,0,0,0,0,0,0
 10-12,0,0,0,3.4,0,0,0,0,0,0,0,0,0,6.07,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.32,0,0.87,1,0,6.7,0,0,0.89,0,4.01,19.11,0,0,0,0,0.99,2.93,1.13,0,0,0
 24-34,0,0,2.02,1.3,0,0,0,0,0.63,0,0.78,0,0,28.88,0,0,1.54,0,0,0,1.41,2.77,0,0
 36-46,0,0,0,3.77,0,0,0,0,0,1.94,0.78,0,0,15.89,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,2.21,1.65,0,2.33,0,0,0,2.04,0,0,6.82,6.9,0,0,0,0,0,2.01,0,0,0
 60-70,0,0,0,0.73,1.16,0,0,0,0,0,0.89,5.29,0,1.35,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,1.35,0,0,0,0,0,0,0,0,0,7.82,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,4.19,0,0.59,0.81,0,0,0,0,0,0,0,0.55,0,0.7
 96-106,0,0,0,0,0.73,0,0,0,0,0,3.45,0,0,0,0,0,0,0,0,0,0,6.91,1.84,0
108-118,0,0,0,2.83,0,0,0,0,0,0,4.02,0,0.76,1.64,0,1.95,0,0,0,0,0,0.55,0,0
120,0,0,1.8,0,0,0,0,0,0,0,3.96,0,0,4.12,0,0,0,0,0,0,0,0,0,0
