stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,glial,hatching.gland,ionocyte,liver,mesenchyme,neural,notochord,otic,pronephros,spinal.cord
  3-4,75.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,40.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,11.85,0,0,0,0,3.41,0,0,0,13.05,4.27,0,0,0
 10-12,0,0,7.46,0,0,0,0,0,0,0,0,8.48,0,0,0,0
 14-21,0,6.06,14.5,0,0,0,1.26,0,0,0,0,0.91,0,0,0,0.83
 24-34,0,8.94,1.36,0,0.88,0,0,0,0.64,0,0,0.91,0,0,0,0.83
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0.58,0,0,0,0
 60-70,0,1.72,0,0,0.84,1.82,0.64,0,0,0,0.73,7.4,0,0,0.59,0
 72-82,0,3.22,0.56,0.84,4.55,0,2.66,0,0,0,0,4.56,0,0,3.55,0
 84-94,0,1.43,0,0,0.61,0,0,0,0,1.74,3.9,0,0,0,0,0
 96-106,0,4.91,0,0,3.33,0,2.46,0,0,0,0,8.39,0,0,0,0
108-118,0,6.03,0,0,0,0,0,0,0,0,0,1.68,0,0,0,0
120,0,5.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
