stage,epidermis,erythrocytes,eye,fin.epithelia,glial,immune,mesenchyme,muscle,neural,notochord,otic,periderm,slow.muscle,spinal.cord
 10-12,0,0,0,0,0,0,0,0,13.28,0,0,0,0,0
 14-21,0.99,0,0.93,0,0,0,0,0,1.07,0,0,0,0,0
 24-34,0,0,0,0,0,0,1.35,0.96,10.29,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,10.24,1.04,0,0,0,0.76
 48-58,0,0,0.57,0,0.58,0,0,0,6.15,0,0,2.81,0,1.06
 60-70,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0
 72-82,0,4.2,5.25,0,1.27,0,2.86,0,10.7,0,0,0,0,0
 84-94,0,0,3.08,0,0,0,2.09,0,0,0,0,0,0.6,0
 96-106,1.1,0,7.68,0,6.23,0,1.35,0,5.74,0,0,0.59,0,0
108-118,0,0.85,4.14,0.51,0,0,0.91,0,3.48,0,5.69,0.41,0,0
120,1.07,0,0,0,0,1.49,0,0,3.9,0,0,0,0,0
