stage,axial,blastomeres,endoderm,eye,hatching.gland,neural,notochord,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord
  3-4,30.68,1353.82,0,0,0,0,0,0,84.78,0,0,0,0
  5-6,43.84,1648.17,0,0,24.14,70.2,14.47,14.67,0,0,0,0,0
  7-9,57,80.17,130.42,260.08,62.77,1854.75,67.35,862.32,0,4.57,0,0,0
 10-12,0,91.75,158.22,220.82,68.99,2020.61,25.46,521.53,0,0,102.06,13.92,3.28
