stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,115.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,73.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,0,0,0,14.27,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.1,121.95,0,1.44,0,0,1.2,0,2.24,1.84,0,1.26,0,0,0,4.15,0,0,0,17.39,0,0,0,0,0,0,0,0,1.05,12.12,0,0,0,0,0
 24-34,0,0,0.81,29.38,0,5.27,0.6,0.67,0.67,0.67,0,0,0,0,0,0,0,0.6,1.59,0,4.81,121.02,0,0,1.29,0,0,0,0,0,3.26,23.39,0,0,1.58,0,0
 36-46,0,0,0,8.69,0,13.88,0,0,2.5,0,0,0.63,0,0,0,0,0.66,6.22,0,0,2.25,243.09,1.2,0,0,0,0,0,0,0,0,43.24,0,0,4.52,0,0
 48-58,0,0,0,3.2,0,79.66,7.9,0,3.16,0,0,0,0,0,0,0,0,15.96,0,2.24,0.85,455.82,0,0,3.1,0,0.56,0,0,0,0,64.43,0,0,3.75,0,0
 60-70,0,0,0,3.04,0,1271.17,1.55,0,7.57,0.98,0,0,0,0,0,0,0,40.87,0,1.36,1.58,611.84,0,0.96,1.72,0,1.88,2.13,0,0,0,105.53,0,1.44,1.66,0,0
 72-82,0,0,0,14.47,0,2196.04,1.41,1.59,26.45,1.77,0,1.54,0,0.66,0,0,0,51.32,0,5.91,0,899.51,0,0,0.71,0,1.97,0,10.01,0,0,69.18,0,0,0,0.76,0
 84-94,0,1.33,0,5.67,1.25,1584.8,1.33,0,41.65,0.69,0,0,0,0,0.62,1.28,0,48.03,0,3.85,0.65,655.84,1.25,0,1.42,0,0.6,1.15,0,0,0,69.41,0,0.63,0,0,0
 96-106,0,1.07,0,8.8,1.18,1869.05,5.05,0,29.5,2.84,0,0,0.73,0,0.81,0,0,39.76,0,3.49,5.94,673.2,0,0,1.01,0,0,0,0.69,0.6,0,39.36,1.44,2.59,2.1,0,0
108-118,0,0,0,13.1,1.95,1198.7,5.04,1.07,25.56,0.85,0,1.1,0.63,0,0,0,0,47.72,0.54,1.16,5.93,828.63,0,0,4.4,0,2.81,0.55,0,0,0,22.88,0,0.9,2.84,0,1.55
120,0,2.96,0,4.85,0,636.05,4.76,0,29.41,5.77,0,3.84,0,0,16.53,0,0,32.32,0,0,3.86,964.39,0,0,1.28,0,0,4.18,0,0,0,0,0,0,0,0,0
