stage,endoderm,erythrocytes,eye,glial,gut,liver,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste
 10-12,9.81,0,0,0,0,0,0,15.62,0,0,0,0,0,17.75,0,0
 14-21,0,1.73,1.76,0,0,0,0,6.16,12.41,0,1.19,2.15,0.99,0,4.06,0
 24-34,0,0,0,0,0,0,0,2.73,14.52,0,0,0.81,0,0,0.97,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,2.38,0,0,1.07,0
 48-58,0,0,0,1.14,0,0,0.48,0,46.69,0.38,0,0,0,0,2.12,0
 60-70,0,0,0,0,0,0,0,0,15.58,0,0,0,0,0,1.03,0
 72-82,0,0,0,0,2.01,0,0,0.89,116.14,0,0,0,0,0,0,1.16
 84-94,0,0,0,0,2.4,0,0,2.95,79.32,0,0,0,0,0,0,0
 96-106,0,0,0,1.16,3.02,9.89,0,44.72,17.34,0,0,0,0,0,0,0
108-118,0,0,0,0,2.46,0,0,4.36,25.64,0,0,0,0,0,0,0
120,0,0,0,0,3.22,0,0,10.19,56.38,0,0,0,0,0,0,0
