stage,blastomeres,epidermis,eye,glial,gut,ionocyte,lateral.line,mesenchyme,neural,olfactory,periderm,spinal.cord
  5-6,6.66,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,2.6,0,1.58,0.76
 36-46,0,0,0.7,0,0,0,0,0,4.23,0,0,0
 48-58,0,0,1.29,0,0,0,0,0,10.91,0,0,0
 60-70,0,0,1.68,0,0,0,0,0,3.45,0,0,0
 72-82,0,0,7.1,0,2.04,0,0,0.95,25.38,0.49,0,0
 84-94,0,0,0,1.02,0,1.04,0,0,32.98,0,1.7,0
 96-106,0,3.55,2.18,1.3,0,0,0,0,35.63,0.81,0,0
108-118,0,0,0,0,0,0,1.8,0,43.25,0,3.89,0
120,0,0,10.36,0,0,0,0,0,20.36,0,0,0
