stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,immune,ionocyte,liver,mesenchyme,mucous,neural,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0.83,0,0,0,0,0,0,0,46.98,0,0,1.53,0.82,0,0,0,0,0,0,0,0
 24-34,0,0,1.16,1.03,0,0,0,0,117.73,1.07,1.32,10.41,1.36,0,1.39,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,28.35,3.04,0,3.67,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0.74,0,0,0,0,3.4,0,0,0,0.86,0,0,0,0,0,0,0,0
 60-70,0,0.83,0,0,0,0,0,3.07,11.46,2.59,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,6.43,0,1.63,0,1.33,0,0,0,0,0,0,0,0
 84-94,0,3.5,0,0,0,0,0,5.05,152.37,0,3.33,0,0,3.68,0,0,0,0,0,0,0
 96-106,0,9.88,9.87,9.11,9.74,21.19,0,1.62,449.12,10.62,19.84,0,14,15.97,0,0,1960.52,4.06,0,2.56,3.52
108-118,0,40.93,0,1.22,0,0,4.98,1.08,14.75,7.61,3.21,0,2.23,0,0,6.26,0,0,0.55,0.58,0
120,0,0,0,0,0,0,0,4.22,3.96,0,0,0,3.46,2.06,0,0,0,0,0,0,0
