stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,taste,vasculature
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312.78,0,0,0
  5-6,7.04,89.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.16,0,0,0,1499.32,0,0,0
  7-9,0,0,0,0,0,10.93,0,0,0,0,0,0,0,0,0,0,69.4,0,0,40.13,328.03,0,0,0
 10-12,0,6.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.56,0,0,17.67,69.25,0,0,0
 14-21,0,0,0,0,4.36,1.11,0,0,0,0,1.72,0,0,0,1.09,0,4.64,0,0,0,14.96,1.29,0,0
 24-34,0,0,0,0,0,0.95,0,0,0,0.98,0.83,0,0,1.71,0,0,13.37,1.1,0,0,1.34,1.78,0,1.36
 36-46,0,0,0,0,0,0.57,0,0,0,0,1.59,0,1.59,0,0,0,10.77,0.64,0,0,3.53,5.12,0,0
 48-58,0,0,0,4.24,0,4.62,0,0,0,0,0.38,0,0,0,1.32,0,20.8,1.15,0,0,2.93,1.61,0,0
 60-70,0,0,0,0,0,7.73,1.38,0,2.51,8.16,0,0,0,0,0,0,10.91,0,0,0,0,6.71,0,0
 72-82,0,0,0,0,0,0.84,0.96,7.13,3.35,0,0.58,0,0,0.49,0.92,0,16.4,8.19,0,0,0,0,1.34,0
 84-94,0,0,0,0,0,0.89,0,5.5,34.12,0.59,0,0,0,0,0,0,14.86,1.43,0,0,1.78,2.98,0,0
 96-106,0,0,1.07,0.78,0,9.74,0,1.4,9.16,6.37,1.93,0,0,0,0,1.51,6.48,18.28,1.04,0,3.86,4.55,0.8,0.7
108-118,0,0,0,1.96,0,6.36,0,10.32,6.72,3.66,0,0,0,3.3,0,0.62,15.1,8.73,0,0,1.5,0,3.38,0
120,0,0,0,17.38,0,0,0,8.53,0,2.25,0,4.79,0,2.35,0,0,1.35,5.09,0,0,4.04,8.59,0,0
