stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,33.09,763.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312.24,0,0,0,0,0,0,0,0,0
  5-6,0,289.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.72,0,0,0,0,528.28,0,0,0,0,0,0,0,0,0
  7-9,0,17.5,0,0,0,0,0,42.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.36,0,0,0,19.73,0,36.82,0,0,0,0,0,0,0,0,0
 10-12,0,5.43,0,0,0,0,0,0,0,0,0,0,0,7.97,0,0,0,0,0,0,0,0,0,0,105.88,19.98,0,0,49.04,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4.21,1.07,0,0.81,0,0,0,1.53,0,0,0,1.81,0,0,0,0,0,0,0,3.66,21.7,0,0,0,0,0,6.15,2.03,0.82,0,2.04,1.83,0,0,0,0
 24-34,0,0,0,2.64,2.24,0,0,3.08,0,0,0,0.93,4.06,0,0,1.43,0,0.96,0,0,12.19,0,0,0.89,63.41,0,3.3,0,0,0,13.47,0,0,0.88,0.62,7.3,0,0,0,0
 36-46,0,0,0,0,19.16,0,0,1.53,0,1.14,0,0,0,0,0,0,0,0,0,0.99,1.77,0,0.55,0.61,25.73,1.14,0,0,0,0,10.44,0,0,0,0,4.47,0,0,0,2.73
 48-58,0,0,0,0,13.91,0.43,0,5.52,0,0.4,0,2.2,0,0,0,0,0,1.95,0,0,11.25,0,0.52,2.06,28.73,0.58,0.87,0,0,0.46,14.52,0,0.56,0,0,4.97,0,0,1.34,0
 60-70,0,0,0,0,2.93,0.72,0,7.75,0,0,0,17.49,7.89,0,0,0.56,0,5.11,0,0,10.96,1.46,0,0,21.37,0,0.7,0,0,0.84,2.86,0,0,0,0,0,0,0.9,0,1.56
 72-82,0,0,1.65,0,7.46,6.99,0,13.44,0,0.92,3.1,5.36,10.52,0,4.53,1.14,0,8.82,0,0,22.39,0,0.76,1.67,42.82,0,0.49,0.53,0,0,8.91,0,0,0,0,0,0,1.24,2.11,4.63
 84-94,0,0,8.6,0,7.42,5.35,0,3.61,0,0,1.89,3.21,15.04,1.88,1.44,0,0,5.93,0,0,11.36,0,0,0,9.99,0,0.64,1,0,0,6.63,0,0,0,0,6.77,1.39,0,0,8.89
 96-106,0,0,2.11,0,26.08,1.5,0.97,13.98,0,1.86,0,5.54,21.35,0,16.14,1.81,0,17.65,0,0,11.62,0,0,0,15.05,0,3.05,0,0,0,26.64,0,0,0,0,0.84,0,0.76,4.55,1.4
108-118,0,0,1.18,0.77,30.15,3.73,0.5,17.12,2.62,0.42,1.29,2.14,11.51,0,10.7,1.37,1.05,13.07,2.32,0,10.74,1.36,0,3.44,12.23,0,0.94,0,0,0,16.69,0,0,0.56,0,0,0,0,6.7,0
120,0,0,0,0,14.08,10.25,0,1.13,0,0,0,0,24.49,0,12.5,0,0,5.9,0,0,4.79,0,0,0,14.66,0,0,0,0,5.46,21.54,0,0,0,0,0,0,5.64,6.49,0
