stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,16.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,17,0,0,0,0,0,0,0,0,0,0,12.47,0,0,0,0,0,0,0,0,0,0,0,16.24,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.42,0,0,31.99,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.07,6.44,7.76,0,0,0,0,2.04,0,0,0,0,0,0,92.73,0,0,33.32,33.81,0,0.97,0,0,0,0.84,0.9,1.11,4.37,0,0,0,0,0
 24-34,0,0,3.01,4.2,0.81,0.86,0,0,0,0.95,0.59,0,0,0,0,0,186.38,0,0,9.98,37.61,0.61,0,0,0,0,0,0,0,5.56,0,0,16.09,0,0
 36-46,0,0,0,5.97,1.22,0.62,0,0,0,0,0,0,1.43,0,0,0,264.05,0,15.89,15.29,42.15,0.68,0,0,0,0,0,0,0,2.16,0,0,16.62,0,0
 48-58,0,0,0,1.01,0,1.96,0,0,2.57,0,0,0,0.59,0,0,0,370.72,0,15.79,14.94,54.52,1.14,0,0,3.5,0,0,0,0,0.43,0,2.35,41.53,2.58,0
 60-70,0,0,0,4.32,3.51,0,0,6.18,0,0.78,0,0,0,0,0,0,483.48,0,60.91,8.31,55.09,0,0,0,19.76,0,0,0,0,1.72,0,10.26,47.41,17.03,1.96
 72-82,0,0,0,1.07,0,18.48,0,0,1.12,3.61,1.1,0,1.42,0,0,0,641.43,0,30.8,7.35,28.08,0,0,0,37.72,0,0,0,0,0,0,23.92,117.67,49.05,0
 84-94,0,0,0,0,0,25.46,1.12,0,3.64,5.06,0,0,0,0,0,0,533.97,0,22.56,6.55,10.83,0,0,0,24.44,1.44,0,0,0,0,0,22.5,120.48,33.05,0
 96-106,0,0,0,1.77,0,32.39,0,1.32,1.62,1.06,0,0,0,0,0.63,3.61,608.17,0,7.71,2.68,26.03,0,0,0,52.5,1.42,0,0,0,0,0,10.36,107.82,48.33,0.73
108-118,0,0,0,2.28,1.16,10.13,0,0.56,0.59,0,0,0,0,0.48,0,0,605.97,0,6.4,1.64,41.64,0,3.15,0,40.82,0,0,0,0,0,0.43,14.3,94.91,60.5,0
120,0,0,0,1.81,0,20.1,6.39,0,3.99,0,0,0,0,0,1.45,0,806.84,1.56,2.58,19.37,27.97,0,0,10.96,40.92,0,0,0,0,0,0,18.61,99.4,116.36,0
