stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,hatching.gland,ionocyte,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,16.62,440.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,23.69,816.34,0,0,0,0,0,0,33.4,0,0,0,0,0,34.88,0,0,0,17.67,6.3,0,0,0,0,0
  7-9,0,9.6,12.25,0,0,16.19,0,0,0,0,0,0,0,0,125.31,0,0,0,10.92,0,0,0,0,0,0
 10-12,0,0,12.18,0,0,9.77,0,0,0,0,0,0,0,0,40.45,8.17,0,0,23.14,0,0,21.89,0,0,0
 14-21,0,0,1.03,5.65,0.9,0,0,0,0,0,0,0,3.23,3.11,5.55,0,0,0.85,0,2.15,0.84,0,5.28,0,0
 24-34,0,0,0.7,0,0,0,0,0,0,0,0,0,0.68,0,4.24,0,0,0,0,0,0,0,0.65,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,1.37,0,1,0,0,0,0,0,0,0,0,0.84,0
 48-58,0,0,0,0.39,0,2.3,0,0,0,0,0.99,1.85,0.71,0,9.2,0,0,0.65,0,0,0,0,0,0.77,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89,2.82,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,1.15,0.73,1.25,0,0,0,0,0,0,1.67,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.24,0,0.84,0.56,0,0,0.71,0,0,0,0,0.96,0,0,1.56,0,0.72,0,0,0,0,0
 96-106,0,0,0,0,0,0,0.93,0,0,0,0.66,0,0,0,1.19,0,1.71,0,0,0.62,0,0,0,0,0
108-118,0,0,0,2.87,0,0,0.43,0,0,0,1.11,0,0,0,0,0,1.69,0.87,0,5.39,0,0,0,0,0.65
120,0,0,0,4.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
