stage,blastomeres,eye,immune,neural,paraxial.mesoderm
  3-4,11.5,0,0,0,0
  5-6,14.05,0,0,0,0
  7-9,0,0,0,42.05,9.98
 10-12,5.43,6.17,0,25.83,12.75
 96-106,0,0,0.6,0,0
