stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.92,0,0,0,3.96,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.03,0,0,0,6.99,0,0,9.84,7.27,0,0,0,0,0
 14-21,0,3.69,0.84,0,0,0,0,0,0,0,0,0,0,0,0,22.71,0,0,0,0,0,0,0,0,2.27,6.58,0,0,0
 24-34,0,3.4,0,0,21.67,0,0,0,0.6,0,0,0,8.39,0,4.19,76.35,0,0,0,0,0,0,0,0.64,0.95,17.83,0,0,0
 36-46,1.65,0,1.12,0,3.19,0,0,0,0,0,0,0,2,0,1.77,81.04,0,0,9.6,0,0,0,0,3.76,0,9.94,0,0,4.21
 48-58,0,0,0,0,22.24,0,0,0,0.81,0,0,0,0.97,0,0,146.25,0,1.81,0.64,0,0,0,0,0,0,22.4,0,0,0
 60-70,0,0,0,0,145.58,0,0.94,0,0,0,0,0,1.12,0,0,177.77,6.52,0.84,0,0,2.4,0,0,0.63,0,2.63,10.31,0,0
 72-82,0,1.41,0.73,0,542.96,0,0,1,5.92,0,0,0,8.92,0,0,237.61,0,0,2.33,0,0,0,0,2.51,0,2.57,0,0.51,0
 84-94,0,0,0,0,576.86,0,0,5.54,2.3,0,0,0,11.95,0,0,143.12,0,0.91,5.16,0,0,0.97,0,3.54,0,9.57,0,1.09,0
 96-106,0,3.94,0,0,673.87,0.67,0,0,4.85,0.62,1.55,2.99,9.44,0,0,127.61,0,3.25,0,0,0,3.79,0,5.32,0,5.34,0,2.23,0
108-118,0,0.72,1.1,0.46,698.91,0,0,0,7.13,0.59,0,0,2.6,1.85,0,238.95,0,0.57,0.66,0,0,8.19,0,5.63,0,0,1.55,0,0
120,0,7.95,9.23,1.89,1144.88,3.63,0,0,23.49,0,0,0,33.61,0,1.12,245.26,0,0,0,0,0,2.97,0,9.9,0,50.12,0,0,0
