stage,blastomeres,endoderm,epidermis,eye,fast_muscle,glial,lateral_line,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature
  3-4,30.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,9.59,0,0,3.85,0,0,0
 10-12,0,5.66,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.82,0,0,0,0,0,1.81,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,9.1,0,0,0,0,0,0.87
 36-46,0,0,0,1.32,0,1.49,0,0,41,0,0,0,0,4.34,0
 48-58,0,0,0,1.58,0,0.95,0,0.77,94.56,0.62,0,0,0.65,3.38,0
 60-70,0,0,0,0,0,1.29,0,0.92,182.53,0,0,0,0,19.88,0
 72-82,0,0,0,1.33,0,3.66,0,0,253.21,0,0,0,0,16,1.61
 84-94,0,0,0,4.82,0,0.65,0,0,162.64,0,0,0,0,3.9,0
 96-106,0,0,0,14.5,0,8.14,0.75,1.43,264.78,0,1.16,0,0.9,16.25,0
108-118,0,0,1.22,7.11,0.56,16.3,0,4.9,224.75,0.45,0,0,0,12.03,0
120,0,0,0,18.79,0,8.61,0,0,380.61,0,0,0,1.03,6.12,4.9
