stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,12.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.22,134.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,14.05,6,0,0,0,12.81,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,52.61,0,0,0,28.18,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.06,0,0,14.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.25,5.66,0,0,27.41,0,0,12.27,0,0,0,0,0,0,0
 14-21,0,0,0,19.63,0.99,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,0,0,0.95,46.68,0,5.28,0,0,0,1.52,0,1.08,3.46,0,0,0,0,0
 24-34,0,0,0,12.06,0,11.61,0,0,0,35.33,0,0,0,0,0,0,0,0,0,4.87,0,0,0,708.38,0,51.33,0,0,0,0,0,0,47.47,0,0,0,0,0
 36-46,0,0,0,2.01,0,160.33,1.33,0,0,312.79,0,0,0,0,0,0,0,0,0.86,9.11,0,0,1.64,1418.06,0,49.21,1.09,0,0,7.93,0,0,156.46,0,0,0,0,1.52
 48-58,0,0,0,15.64,2.7,829.34,0,0,0.51,751.82,1.51,0,1.42,0,0,0,1.39,0,2.55,14.29,0,0,19.35,2860.28,5.32,37.28,0.57,0,0,4.14,0,0,316.41,0,0,2.55,0,0.63
 60-70,0,0,0,10.47,1.04,2183.5,3.1,9.55,2.39,591.2,0,0,5.1,0.81,0,18.39,0,4.47,0,37.37,0,0,2.92,3348.22,1.73,30.03,0.95,0,1.19,0,0,0,249.8,0,0,0,0,13.33
 72-82,0,0,0,15.15,1.16,1991.15,0.75,0,2.21,419.51,0,0,0,0,0,0.57,0.68,0.96,0,53.2,0,9.07,3.34,2552.18,0.85,31.37,0,0,0,3.94,0,0,161.31,0.87,3.25,7.16,0,11.6
 84-94,0,0,0,18.75,13.31,962.75,0,0,0,294.42,0.66,0,0,1,1.78,3.59,1.38,0,0,39.52,0,3.31,0.87,1434.35,0,28.39,0,0,5.4,6.79,0,0,101.31,0,1.23,0,0.75,0
 96-106,0,0,0,11.19,6.45,711.61,0,2.89,1.21,219.18,0,0,1.69,0.73,0,0.75,0.84,0,0,21.76,0,0,3.69,1134.51,0,27.73,0.62,0,1.36,4.93,0,0,28.89,0,0,2.55,0,0
108-118,0,0,0,14.92,2.72,829.48,0,3.83,0,285.93,0,0,0,0,1.59,1.42,0,0.7,1.34,35,5.93,0.79,1.1,1574.64,0.43,30.09,0,0,0,0.98,0,0,31.46,1.22,0,0,0,1.16
120,0,0,0,30.44,0,768.13,0,0,0,665.59,1.33,0,0,0,0,0,0,0,0,75.1,0,11.39,2.18,2906.93,0,21.89,0,0,0,0,1.13,1.64,76.5,0,0,1.46,0,0
