stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,ionocyte,liver,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,6.7,10.99,0,0,0,1.38,0,0,0,4.52,0,1.63,9.03,0.91,1.19,0,0,4.36,0.86,0,0,0,5.73,0,0
 24-34,0,0,0,0,0,0,0,0.73,0,0,0,0.77,0,0,3.32,0,0,0,0,0,0,0.74,1.35,0,32.33,0,0
 36-46,0,0,0,0,1.32,0.87,0,0.72,0,0,0,1.95,0,0,1.31,0,0,0,9.7,0,0,0,0,0,20.37,0,0
 48-58,0,0,0,0,0,0.45,0,0.38,0,0,0,1.25,0.55,1.96,0.52,0,0,0,0,0,0,0,0.9,0,0.95,0,0
 60-70,0,0,0,0,0,0,0.78,4.72,0,0,0,2.76,0,0,0,0,0,2.16,0,0,0,0,0,1.99,3.83,2.15,0.79
 72-82,0,0,0.9,0,1.7,1.44,3.46,2.23,1.75,0,4.08,4.5,0,0,1.97,0,0,0,0,0,0,0,0,0.73,3.16,1.76,2.36
 84-94,3.79,0,0,0,0,0.75,0,7.34,0,0,0,15.63,1.7,0,1.3,0,0,0,0,0,0,0,0,0,0,2.7,0
 96-106,1.56,0,0,0,0.82,0,0,4.01,3.41,0,0,8.79,0.67,0,0,0,0,4.27,0,0,0,0,0,0,8.38,1.16,0
108-118,0,0.49,0,0,0,0,3.79,5.06,1.04,0.74,0,5.39,0,0,17.1,0,0,2.06,0,0,0,0,3.18,0,6.62,3.59,1.03
120,0,0,0,0,0,0,0,1.42,0,0,0,6.34,0,0,12.35,0,0,9.57,0,0,0,0,0,2.93,4.1,4.27,0
