stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,53.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.94,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,5.13,0,0,0,0,0,0,0,0,0,0,12.65,7.37,0,17.28,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,21.17,0,0,0,4.94,0,0,0,0,0,84.01,0,0,0,0,7.47,0,0,0,0,0,132.05,34.86,0,70.12,0,0,5.55,0,9.76,0,0,0,0,0,0,0,0
 14-21,0,0,5.87,54.91,3.32,0,1.92,0,0,0,2.29,8.76,45.58,1.92,2.29,1.65,0,84.34,0,38.39,1.17,0,37.89,213.39,44.54,1.8,1.02,0,24.36,2.06,33.63,2,1.95,135.39,137.2,0,0,1.06,0,0
 24-34,0,0.71,16.61,51.84,1.07,0,16.86,0,18.71,1.31,4.91,2.08,3.67,0.77,0.6,4.46,0,42.76,0,98.88,1.6,0,66.89,1188.08,6.8,3.67,0,0,2.48,0,0,1.45,0,22.6,275.06,0,0,1.79,0,0.89
 36-46,0,0.95,0.63,7.4,0,0,8.31,0,11.7,2.04,5.85,2.78,3.94,0.9,0.56,0,0,14.21,2.04,110.56,3.45,2.04,20.82,1018.37,3.84,0,0,0,3.14,0,0,5.84,0,0,275.36,0,0,0.91,0,0
 48-58,0,3.51,2.77,19.9,0,0,10.73,0.58,24.12,13.14,5.34,7.19,22.3,0,0,0.77,0,19.38,0.79,114.58,0,2.62,16.06,179.15,4.06,0.43,0,0,6.61,0,0,2.13,0,0,134.12,0,0,2.67,0,0
 60-70,0,0,0,3.42,0,1.49,14.73,0.63,11.25,4.12,5.95,9.03,3.32,0.76,0.65,0,0,20.86,0,179.83,1.01,0.68,5.07,56.15,0,0,0,0,0,0,0,0,0.76,0,14.28,0,0,0,0.59,0
 72-82,0,6.6,0,2.11,0,51.11,47.71,0.82,2.82,15.41,3.15,4.14,0.59,0,0,0.63,5.93,30.42,0,238.04,2.47,1.44,1.72,44.16,0,0,0,0,0,0,0,0,0,0,6.25,2.32,1.03,0,0,0
 84-94,0,4.22,0,10.15,0,152.34,12.39,0,12.3,9.15,3.84,12.01,3.8,0,0.7,0.58,3.97,52.57,2.78,215.56,1.01,4.09,3.41,44.75,0,0,0,1.68,1.71,0,0,2.01,0,0,1.96,0,0,0,0,0.8
 96-106,0,9.9,0,8.89,5.83,191.92,16.21,0.71,21.81,5.59,5.69,14.25,0,2.78,2.91,0,0,114.44,0,404.81,0,5.79,2.41,69.1,0,0,0,1.3,1.33,0,0,0,0,0,0.67,0,1.15,1.87,1.42,0.73
108-118,0,12.77,0.77,11.28,0.41,719.61,15.61,0,58.56,12.68,20.14,17.16,0,0,3.34,1.8,0,429.91,5.98,495.53,0,0.49,9.17,70.77,0,0,0,4.04,3.18,0,0,0.43,0.59,0,4.27,0,3.57,5.12,1.11,0.55
120,0,14.24,4.41,6.58,3.48,197.48,12.6,0,13.69,41.97,24,27.69,0,0,1.12,0,0,236.86,0,468,1.1,8.06,5.03,61.18,0,0,0,0,0,0,0,2.99,0,0,4.01,1.37,0,5.48,0,0
