stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,302.1,5885.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210.9,0,0,0,0,0,0,0,0,0,0
  5-6,128.34,1970.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.56,0,18.82,0,0,0,0,0,0,0,0,0,0
  7-9,26.43,40.12,0,23.82,0,0,0,103.11,0,0,0,0,0,39.64,0,0,0,0,0,0,0,0,0,0,0,993.13,35.19,0,0,267.09,0,4.34,4.57,0,0,0,0,0,0,0,0,0
 10-12,0,64.33,0,109.02,0,17.57,0,128.03,0,0,0,0,0,49.3,0,0,0,0,0,0,0,0,0,0,0,1678.36,52.11,0,0,459.91,0,10.64,20.91,4.36,55.6,4.89,9.81,0,0,0,0,0
 14-21,0,0,0.82,13.69,273.32,18.2,0,38.89,0,2.33,0,26.49,12.68,7.04,0,0,8.5,0,0,1.16,0,74.68,0,0,40.39,618.77,11.42,0,10.8,15.95,0,46.27,0,49.72,19.43,53.92,197.27,0,0,27.53,0,0
 24-34,0,0,0.81,8.62,96.92,2.86,0,72.77,0,12.84,3.93,38.56,8.83,2.95,4.68,0,5.54,0,8.43,0,0,162.47,2.2,0,65.09,863.19,10.24,17.32,20.3,0,0,58.89,0,0,7.91,6.67,232.98,0,0,84.5,0,8.93
 36-46,0,0,0,0.59,42.48,0,0,59.56,1.33,7.98,3.94,41.02,1.76,0,3.12,0,2.91,0.74,9.46,2.79,9.02,159.3,0,4.76,35.01,460.81,6.75,9.93,12.35,0,0,66.89,0,0,11.12,0,176.54,0,0,43.51,0,0.74
 48-58,0,0,0,0,40.51,0,0,51.64,0.46,11.7,1.77,48.29,4.91,6.55,3.62,0,2.38,4.8,7.84,0,0,175.2,0,2.74,27.29,154.89,5.37,5.22,6.49,0,0.73,40.77,0,0,3.1,0,52.1,0,0,40.66,0,6.68
 60-70,0,0,0.86,0,45.24,0,0,54.64,1.34,16.59,5.77,53.61,2.58,5.51,3.88,0.78,0.61,0.77,5.69,0,0,275.52,4.09,5.32,18.29,125.5,1.99,4.32,14.8,0,1.46,50.5,0,0,5.86,0,37.93,0,3.66,49.79,3.66,7.36
 72-82,0,0,1.58,0.51,40.33,0,0,28.23,0,8.32,10.27,104.71,8.05,1.41,12.17,0.55,3.25,1.24,4.47,0,0.6,266.09,5.14,9.46,18.03,82.43,5.09,12.83,20.74,0,2.24,36.65,0,0,0,0,26.98,1.93,7.4,59.63,5.09,5.84
 84-94,0.62,0,1.72,0,93.3,0.92,0,45.87,0,18.9,4.98,64.3,11.05,4.12,5.61,0,5.04,1.2,6.73,0,0.86,231.94,2.1,9.08,17.63,81.96,5.75,17.52,29.99,0,0,78.69,0,0,3.93,0,32.05,2.87,7.49,58.3,11.92,9.39
 96-106,1.12,0,3.19,1.03,82.39,0,1.52,35.98,0.67,19.24,10.3,56.35,16.68,1.06,17.44,2,4.46,7.48,8.18,3.29,0,291.61,6.1,13.87,26.32,105.57,3.64,18.35,33.49,0,8.93,94.31,0,0,1.35,0,15.25,3.94,5.53,62.79,14.21,6.13
108-118,0,0,0.94,0.61,85.58,0,5.2,36.31,0.76,24.14,7.9,71.7,26.59,0,4.96,0.5,14.68,9.44,13.66,1.41,4.05,301.66,17.19,25.11,22.43,102.16,4.81,10.35,15.83,0,1.96,65.21,0,0,2.64,0,9.11,11.89,5,60.79,8.94,16.78
120,0,0,2.96,0,106.1,14.23,0,36.86,3.21,48.21,6.41,72.6,23.08,0,3.17,0,8.22,16.65,9.72,3.25,5.95,246.07,19.16,1.26,31.89,86.74,16.43,13.9,26.57,0,6.29,70.98,0,0,6.66,0,0,6,0,140.88,4.59,3.18
