stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,0,14.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.32,0,0,0,0,3.25,0,0,0,3.3,0,0,0,0,0,0,39.14,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3,0,0,9.63,0,0,0,0,0,0,0
 14-21,0,0,0,8.37,0,1.89,0,0,0,0,0,0.87,0,0,0,4.06,18.76,0,0,0,2.08,1.8,3.04,0,4.5,3.49,0
 24-34,0,0,1.2,7.54,2.37,14.61,0,0,0,0,0,1.48,0,6.92,0,1.95,89.51,0.88,3.46,0,4.06,0,0,0,1.9,6.31,7.16
 36-46,0,0,0,0.56,0,24.41,0,0,0,0,0,7.84,0,0.88,0,0.84,43.99,0,0,0,0,0,0,0.94,0,3.01,0
 48-58,0,0,0,3.73,2.22,22.7,0,0,0,0,0.39,0,0,1.23,0,0,38.66,0,0,0,0,0,0,0,0,5.42,0
 60-70,0,0,0,0.82,0,13.98,0,4.66,2.54,0,0,0,0,1.3,2.4,0,46.8,0,2.77,0,0,0,0,0,0,2.13,1.67
 72-82,0,0,0,2.2,0,10.31,0,6.48,0,0,3.59,0,0,4.57,1.08,0.8,27.16,0,0,0,1.14,0,0,0,0,4.05,2.11
 84-94,0,0,0,1.74,0,4.32,0.57,1.39,0,0,0,0,0,3.2,0,0,4.27,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0.59,0,0,0,4.17,0,0,0,0,0,2.32,0,1.64,2.83,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.47,0,8.87,0,6.58,0,0,0.65,0,0.6,0,1.25,0.42,5.25,0,0.48,0,0,0,0,0,0,0,0
120,0,0,0,1.06,1.14,2.26,0,0,0,0,2.71,0,0,0,0,0,47.94,2.89,0,0,0,0,0,0,0,0,5.48
