stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
  3-4,9.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,4.22,0,0,0,0,3.27,0,0,0,0,0,0,5.43,0,0,0,4.31,0,0,0,0,0,0,0,0
 10-12,0,12.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,10.73,0,0,9.9,0,0,6.34,0,0,0,0,0
 14-21,0,0,6.6,2.1,0,0,0,0,0,0,0,0,0,7.23,0,0,5.83,0,0,0,1.68,0,7.92,0,1,0,0,0,0
 24-34,0,0,27.37,0,0.92,0,0,0,0,0,0,0,0,2.55,0,0,63.49,0,0,0,0,0,0,0,0,1.3,0,0,0
 36-46,0,0,5.74,0,9.41,0,0,0,0,0,0,0,0,2.29,0.65,0.91,93.38,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,6.33,0,5.46,0,0,0,0,0,0,0,0,1.99,0,6.48,160.25,0,0,0,0,1.2,0,0,0,2.1,0,0,0
 60-70,0,0,3.01,0,9.45,0,0,0,11.6,0,0,0,0,6.44,0,0,230.23,0,0,0,0,0,0,0,0,8.39,0,0,0
 72-82,0,0,3.4,0,13.1,0,0,0,0.9,0,2.6,0,0,19.09,0,0.71,226.24,0,0,1.13,0,0,0,0,0,8.95,0.68,0,3.72
 84-94,0,0,0,0.76,4.77,0,0,4.71,3.64,0,0,0.75,0,29.51,0,0,139.09,0,0,27.5,0,0,0,0,0,3.46,1.61,0,0
 96-106,0,0,4.15,0,9.89,0,0,0,2.28,0,0,0,0,47.58,0,0,114.68,0,0,38.45,0,0,0,0,0,0,0.69,2.88,0
108-118,0,0,0.45,0,5.87,0,0,0,6.17,0,0,1.01,0.56,87.16,0,0,189.17,0,1.19,59.58,0,0,0,0,0,0,1.81,0,0
120,0,0,1.59,0,0,1.54,1.33,0,0,0,0,0,0,78.02,0,0,163.8,0,0,83.65,0,0,0,0,0,0,0,0,0
