stage,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,spinal_cord,taste,vasculature
  3-4,19.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.36,0,0,0,6.67,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04,1.82,0,0,67.99,0,0,0
 24-34,0,1.29,3,0,0,0,0,0,0,0,0,2.16,0,0,14.38,0,4.43,0,214.16,3.87,0,0.69
 36-46,0,2.64,3.41,0,0,0,0,0,0,0,1.73,0,0,0.61,25.51,0,6.3,2.11,302.02,4.57,0,0
 48-58,0,3.86,6.83,0,0.46,1.25,0.49,3.09,1.82,0,1.36,0,0,0.44,14.41,0,7.59,0,221.84,4.45,0,0
 60-70,0,9.4,31.44,0,1.99,0,0,0,1.02,0,1.27,0,10.58,0.69,25.01,0,5.85,1.38,265.48,1.26,0,0.93
 72-82,0,15.18,2.47,1.59,0,0,0.56,0,1.59,0,1.01,2.36,0,0,17.07,0,3.03,0.56,230.21,0,0,1.52
 84-94,0,23.57,0,0.58,0,1.08,0.94,0,5,0.67,2.88,1.96,0,0,4.44,0,10.88,0,494.26,0,0,0
 96-106,0,43.74,23.3,5.35,0,1.55,1.56,0.59,3.61,0,0.72,2.56,0,0,16.2,0,22.02,0,549.69,0,0,0
108-118,0,39.49,0,3.69,0,2.85,0,0,5.05,0,0,0.94,0,0,16.91,0,7.2,1.01,387.85,0,5.41,0
120,0,29.15,2.64,4.97,0,0,0,0,4.32,0,5.88,3.03,0,0,9.94,0,20.65,8.18,332.4,0,0,0
