stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0.98,3.08,1.23,0,8.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,0.83,47.39,0,0,0,0,0,8.64,0,0,10.19,4.57,0,0,0
 24-34,0,0,3.57,0,0,22.11,0,0,0,1.89,0,0,0.77,0,0,0.97,0,0,0,6.04,0,0,2.35,56.26,0,0,0.88,0,3.94,0,0,0,6.4,1.24,3.78,0,1.3
 36-46,0,0,4.62,0,0,16.54,5.08,0,0,1.04,1.04,0,1.67,0,0,0,0,15.11,0,3.76,0,0,0,66.65,0.64,1.01,0,0,2.35,0,2.41,0,0,0.57,0,0,0
 48-58,0,0,0.52,0,0,8.34,1.89,0,0,0,0.41,0,0,0,0,0,0,0,0,1.45,0.65,0,0.41,12.74,0,0,1.44,0,5.61,0,0,0,0,0.78,0,0,0
 60-70,0,0,5.81,0.75,0,14.87,0.83,0,0.63,19.4,0,0,0,0,0,0,0,3.3,0,3.35,1.14,0,0,27.29,0,0,0,0.97,1.21,0,0,0,0,0,0,0,0
 72-82,0,0,1.07,0.52,0,2.1,0.59,0.68,0.75,3.7,0,0.65,1.02,0,0.7,0.73,1.48,0.96,0,5.81,0.95,0.9,0,12.51,0,0,0,0,1.5,0,0,0,0,1,1.09,0,8.35
 84-94,0,0,6.17,4.51,2.25,9.85,0.57,0,0,3.67,2.25,0,0,0,3.07,0.82,0,1.15,0,4.5,0.93,0,0,10.83,0,0.66,0,0,5.75,0,0,0.62,0,1.11,0.6,0,5.99
 96-106,0,0,8.89,0,0,12.05,0.77,1.93,1.24,5.71,2.2,0,0.96,3.79,0.6,0,0,0,0.75,6.3,4.16,0,0,14.3,0,1.22,0,0,16.7,0,0,0,0,0,1.89,0,1.79
108-118,4.39,0,18.35,4.96,3.1,1.67,3,2.13,0.49,4.33,1.92,0,0,0.63,3.34,2.31,6.05,0,0.53,16.19,3.68,0.62,7.05,22.91,2.35,15.65,3.54,0.91,19.83,0,0,0,0,0,1.54,0,0.83
120,0,0,19.15,6.48,3.85,1.3,8.43,3.21,0,0,3.88,0,0,0,0,0,0,7.17,0,40.88,0,0,7.07,34.19,0,17.32,1.86,0,18.17,0,5.04,0,0,0,3.2,9.56,0
