stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
 14-21,0,0,64.34,0,0,0,0,0,0,0,0,25.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,129.41,0,0,0,0,0,2.28,0,2.01,733.92,0,0,0,2.14,0,0,9.29,50.39,0,0,0,0.95,10.34,0,0,1.65,0
 36-46,0,0,23.09,0,9.72,0,0,0,3.86,0,1.05,1678.91,0,0,0,5.09,0,0,0,39.14,5.95,0,0.95,2.35,4.3,0,0,0.76,5.22
 48-58,0,0,13.43,0,13.73,0.86,0,0,2.23,0,0,1961.79,0,0,0,5.48,0,0.42,0.73,42.62,0,0.89,0,0,14.63,0,0,2.18,0
 60-70,0,0,5.27,0,30.21,0,0,0,3.13,3.87,0,1718.05,0,0,0,3.59,0,0,0,43.18,0,0,0,8.82,5.95,0,0,0,0
 72-82,0.76,0.82,14.53,0,19.04,0,0,2.07,0.97,0,0,1863.75,0,0,0,8.83,0,0,0,24.09,0,1.07,0,0,5.06,0,0.49,7.88,0
 84-94,1.62,1.92,26.63,0,19.75,0,0,0,1.09,0.92,0,2112.21,0,0,0,5.96,0,0,0,20.58,0,1.31,0,4.65,10.51,1.39,0,2.6,0
 96-106,1.56,2.14,19.55,0,13.99,0,0.59,0,2.14,6.01,0.96,2240.56,0,11.13,0,5.32,0.76,0,0,56.48,0,0,0,17.33,0,0,1.16,0,0
108-118,0,1.57,7.81,1.44,21.14,0.76,0,0,4.75,3.3,0,2099.91,3.95,0,1.94,12.23,0,0,1.31,40.2,0,0,0,5.56,3.39,0,0,4.62,0
120,0,1.26,0,0,2.6,3.69,0,0,3.53,0,0,1623.1,0,2.26,0,11.42,0,0,0,71.99,0,0,2.84,1.78,0,0,0,0,0
