stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 48-58,0,0,0,0,0,0,0.88,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38,0,0,0,0,0
 60-70,0,0,2.27,2.01,0,0,0,0,0,0,0,0,0,0,0,0,0,3.23,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,1.9,38.75,0,8.3,0,1.57,0,4.67,0,0,0,0,0,0,0,14.25,4.17,0,0,6.39,0,1.63,0,0,10.29,1.66,0,0,1.1,0
 84-94,1.4,0,5.2,33.75,0,5.63,0,0,2.05,12.29,0.97,2.66,0,0,1.25,0,0,19.61,0,0,1.66,6.56,1.4,0,0,0,22.77,2.43,0,0,0,0
 96-106,0,0,9.04,156.59,0,4.73,0,0,3.12,15.88,0,0,0,0.91,0,0,1.45,26.02,6.25,0.58,4.85,21.04,0,7.95,0.93,1.45,24.75,3.59,0,0.68,9.39,1.72
108-118,0,0.45,9.71,74.91,0,15.82,0,3.28,3.46,42.74,0.43,0,2.95,0,0,0.89,0,44.31,1,0,7.74,25.58,0.85,5.02,0,0,32.98,5.56,0,0,10.75,0
120,4.34,0,10.14,24.38,2.64,0,1.58,0,0,37.62,1.33,0,10.06,0,1.1,0,2.38,86.7,0,3.51,0,0,0,4.31,3.52,0,10.34,21.43,2.39,0,19.65,5.05
