stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.94,111.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.07,199.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.73,7.08,0,10.9,0,0,0,8.1,0,0,0,0,0,19.29,0,0,0,0,0,0,0,0,0,182.27,19.68,0,0,113.61,5.76,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,101.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436.53,16.15,0,0,96.4,0,0,6.6,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1.63,0,4.76,0,0,0,1.71,0,0,0,0,0,0,0,0,1.48,0,2.15,66.6,5.13,0.84,0,1.09,0,3.72,1.79,0,7.02,27.19,0,0,0,0,0
 24-34,0,0,0,0,1.42,1.54,0,18.63,0,0,0,7.03,0,0,0,0,0,0,0,0,14.27,0,6.41,280.98,1.48,0,0,0,7.09,0,0,0,2.33,91.56,0,0,14.79,0,1.1
 36-46,0,0,0,0,22.3,0,0,35.54,0,0,6.62,12.85,0,0,0,0,0,0,0,0,14.6,0,6.74,238.09,0,2.65,0,0,11.11,0,0,0,0,51.53,0,0,5.96,0,0
 48-58,0,0,0,0,0.88,0,0,84.16,0,0.47,0.67,33.77,0,0,0,0.5,0,0,0,0,22.04,0.71,3.13,273.03,0,0.97,0,0,0.82,0,0,0,0,57.45,0,0,3.49,0,1.1
 60-70,0,0,0.62,0,4.6,0,0,68.03,3.41,0,0,25.69,0,0,0,1.31,0,0,0,0,17.24,5.24,0,244.92,0,3.95,0,0,4.98,0,0,0,0,24.89,0,0,0,0,0
 72-82,0,0,0,0,5.53,0,0,136.61,0,2.64,0,96.38,0,0,2.07,0,7.05,0,0,3.31,34.97,5.49,2.65,557.69,1.15,2.34,3.36,0,1.31,0,0,0.55,0,48.29,0,0.56,1.59,0.71,1.08
 84-94,0,0,3.91,0,1.92,2.59,0,140.95,0.76,0,0,44.16,3.07,0,0,0,0,0,0,0,13.99,0,0,394.56,0,3.53,0,0,8.34,0,0,0.55,0,38.51,0,2.08,2.84,0,9.49
 96-106,0,0,0,0,5.97,3.04,0,180.22,0,0,0,47.41,0,0,0,0,0.76,1.11,0,0,16.93,0,1.37,347.88,0,6.08,0.85,0,9.54,0,0,0,0,17.76,2.03,0,2.12,2,0.8
108-118,0,0,0,0,4.46,0,2.27,123.18,1.3,0,1.45,117.13,0,0,0,0,0,0,0,0,13.21,0,2.76,527.24,0,6.67,2.17,0,5.49,0,0,0,0,17.46,0,0.45,3.18,0.54,0
120,0,0,0,0,3.58,0,0,176.03,0,0,0,100.52,0,0,2.58,0,0,0,1.23,0,5.71,2.61,1.82,786.61,0,18.71,2.34,0,0,0,0,0,0,21.5,0,0,2.76,0,0
