stage,epidermis,eye,fin.epithelia,glial,gut,ionocyte,lateral.line,mucous,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,0,4.46,0,0,0
 24-34,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.61,0,0,3.62,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0.71,0.67,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0
 72-82,0,0,0,0,0,0,0,0,3.36,2.02,0,0,0.49,0,0
 84-94,1,0,0,0,0,0.6,0,0.86,0,3.89,0,0,17.6,0,0
 96-106,1.78,0,0.56,0,0,0,0.61,0,4.78,1.13,1.29,0,6.67,0,0
108-118,1.15,0,0,1.68,0.93,0.53,0,0,1.01,2.11,0,0,7.2,0.7,0
120,0,11.63,3.23,0,0,0,4.13,0,7.81,2.28,0,0,21.8,0,7.48
