stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,hatching.gland,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,0,114.87,0,0,0,0,0,0,0,0,0,0,0,0,0,16.74,0,0,0,0,0,0,0
  5-6,6.15,60.6,0,0,0,0,0,0,0,0,0,7.33,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.35,15.78,0,0,0,0,3.97,0,0,0,78.68,7.21,0,27.67,0,9.04,0,0,0,0,0,0
 10-12,0,0,6.79,0,10.81,0,0,0,0,0,0,109.48,3.08,0,53.01,0,0,7.44,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,2.07,0,0,0,0,0,0,0,1.66,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,19.59,0,0,0,0,0,0,0,0,0.78,0,1.45
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,2.23,0,0,0,0,0,0,0,0,1.63,0,0
 48-58,0,0,0,0,5.71,0.51,0.79,0,0,0,0,14.35,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,2.52,0,0,0,0,0,0,7.54,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,3.54,0,0.91,0,0.97,0,0,0.54,0,0,0,0,0,0,1.09,1.87,0
 84-94,0,0,0,0,4.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,1.49,0,4.93,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,2.59,0,0,0,0,0,0,7.77,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,5.7,4.68,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0
