stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,7.97,6.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.5,0,0,0,3.65,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.58,0,0,0,3.34,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.89,6.7,1.91,6.56,0,0.95,0,4.33,0,0,0,11.79,0,0,4.74,171.06,0,0.98,0.88,3.29,0,10.37,2.49,7.04,46.94,0,0,0,0,0
 24-34,0,0,0,0,0,11.9,0,0,0,16.2,0,0,0,8.44,0,0,2.71,215.45,0,2.32,1.55,0,0,0,1.97,0.66,44.48,0,0,0,0,2.64
 36-46,0,0,0,1.28,0,49.69,0,1.06,0,8.52,0,0,0,8.43,0,0,1.98,201.63,0,2.37,0,0,0,0,0.59,0,31.83,0,0,2.3,0,0
 48-58,0,0,0,0.4,0,62.25,0,0,0.72,15.24,0,0,0.49,12.56,0,0,5.17,85.77,0,1.27,10.25,0,1.44,0,0,0,18.5,0,0,1.26,0,0
 60-70,0,0,0,0.88,0,32.34,0.68,0,0,23.62,0,0.81,0,4.49,0,0,3.02,44.04,0,7.7,0.62,0,0,0,0,0,9.39,0.77,0,0,0,0
 72-82,0,0,0,0.73,0,50.23,0,0,0,20.07,6.32,0,0,13.12,0,1.54,0.57,70.2,0,5.66,2.92,0,1.03,0,0,0,14.04,3.19,0.5,0,0,0
 84-94,0,0,0,1.83,0,26.4,0,2.91,0,15.69,0,0,0,21.29,0,1.87,1.52,7.85,1.52,12.49,2.24,0,0.72,0,0.75,0,6.92,0,0,0,0.63,0
 96-106,0,0,0,0,0,21.78,0,0,0,12.14,0,0.6,1.42,13.41,0,0,10.68,18.47,0,3.64,0,0,0,0,0,0,1.97,1.59,0,1.95,0,0
108-118,0,0,0,4.2,0,12.77,0,0,0,11.92,0,0,0,23.58,0.8,0,1.53,50.85,0,2.34,1.13,0,0,0,0,0,1.41,3.35,5.64,5.12,0,0
120,0,0,0,0,0,30.62,0,0,2.81,3.6,0,0,0,10.92,0,0,0,21.17,0,0,0,0,0,0,0,0,6.85,4.13,0,0,0,0
