stage,epidermis,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,immune,ionocyte,iridophores,melanocytes,mesenchyme,muscle,neural,otic,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
 14-21,2.37,0,0,0,0,0,0,0,0,0,0,0,1.65,0,0,0.82,2.81,0,0,0
 24-34,0,0,3.19,0,0,0,0,0,0.89,23.51,0,0,9.99,0,4.98,0,0,0,0,26.93
 36-46,0,0,0.62,0,0,0,0.57,0,2.9,124.17,1.49,0,0.69,0,0.73,0,1.74,0,0,69.68
 48-58,0,0,1.3,0,0,1.58,1.36,0.55,0,70.02,0,0.42,7.66,0,0,0,1.85,0,0,95.56
 60-70,0.67,0,8.33,0,0,43.19,0,0,3.65,41.86,7.46,0,5.04,0,0,0,0,0,0,110.3
 72-82,0,0,0,0,0,96.16,0,0,2.13,32.61,13.93,0,14.98,0,1.97,0,0,0,0,87.1
 84-94,3.53,0,9.73,0,0,134.19,1.94,0,0.62,33.78,8.3,0,5.92,1.17,2.36,0,0,0,0,37.39
 96-106,1.23,0,6.99,2.27,0,195.21,3.06,0,6.53,17.92,10.72,0.91,8.06,2.74,3.18,0.68,0.84,2.88,0,56.27
108-118,2.14,4.79,1.88,0,0,236.17,2.33,0,20.12,32.41,25.99,0,5.22,0,2.9,0,0,0,1.32,55.41
120,1.05,0,23.14,0,2.41,225.5,6.04,0,4.92,5.31,4.38,6.51,6.39,0,0,0,0,0,0,28.97
