stage,eye,fin_mesenchyme,glial,gut,mesenchyme,neural,olfactory,otic,somites,spinal_cord
 14-21,0,0,0,0.82,0,1.39,0,0,0,1.15
 24-34,0,0,0,0,1.89,0,0,0,1.01,0
 36-46,0,0,0,0,0.59,5.43,0,0,0,0
 48-58,0,0,0,0,0,7.44,0,0,0,0.59
 60-70,0,0,0,0,0.58,30.92,0.84,0,0,1.8
 72-82,2.92,0,1.44,0,0.98,10.7,0,0,0,0
 84-94,3.55,0,0,0,1.5,10.67,0,0,0,1.5
 96-106,4.32,0,0,0,0,38.7,0,0,0,0
108-118,9.29,0,1.27,0,0,8.38,0,1.13,0,0
120,4.68,3.99,0,0,0,11.23,0,0,0,0
