stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,11.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,54.62,0,88.76,0,0,0,3.93,0,0,0,0,0,10.03,0,0,0,0,0,0,0,0,0,1669.07,0,0,0,248.76,0,0,0,0,0,0,0,0,0,0
 10-12,111.23,0,402.08,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3259.17,6.84,0,0,425.87,0,0,0,110.06,0,14.9,0,0,0,0
 14-21,0,11.68,144.68,26.31,13.62,0,0,0,0,0,10.48,125.32,2.24,0,0,0,0,0,0,39.54,0,4.61,120.1,4.33,5.23,1.94,6.12,0.87,0,0.84,514.89,2.86,184.83,0,0,0,0
 24-34,0,4.73,45.32,0,0,0,0.83,0,0,0,21.93,47.98,0,0,0,0.63,0,0,7.23,0,0,0,52.82,0,0,0,0,2.73,0,0,215.06,0,23.89,0,0,0,0
 36-46,0,0.98,3.28,7.34,0,0,3.13,0,0,0,14.59,10.74,0,0,0,0,0,0,11.12,0,0,0,13.65,0,1.13,0,0,0,0,0,85.6,0,4.99,0,0,0,0
 48-58,0,2.58,1.55,0.38,0.43,0,3.91,0,0,0.41,26.76,38.17,0,0,0,0,0,0,19.23,0,0,0.63,10.05,0.63,0,0,0,0,0,0,130.51,0,9.89,0,0,5.5,0
 60-70,0,5.82,0,0,0.56,0,4.49,0,0,0,10.58,37.67,0,0.88,0,0,1.16,0,17.56,0,0,0,20.86,0,0,0,0,0,0,0,122.69,0,7.25,0,0.71,0,0
 72-82,0,5.42,5.36,0,1.89,0.5,13.42,0,0,0,22.64,50.25,0,0,0,0,0,0,5.19,4.72,0,0,29.51,0,0,0,0,4.84,0,0,142.86,0,3.01,0,0,2.18,0
 84-94,0,7.03,13.17,0,13.98,4.91,1.89,0,0,0,12.31,67.2,0,0,0.61,0,0,0.81,21.61,0.8,0,8.89,12.09,0,0,0,0,2.14,0,0,285.86,0,0,0,0,0,5.01
 96-106,0,5.08,18.72,0,21.6,3.02,2.2,0.79,0,0,2.93,65.77,0,0,0,0,0,0,26.15,9.35,0,5.54,39.01,0,0,0,0,3.09,0,0,240.51,0,0,0,0,3.33,0.69
108-118,0,7.76,18.3,0.69,0,2.74,7.92,0,0,0,6.29,49.85,0,0,0.95,0,0,0,21.45,0.91,1.96,2.54,34.59,0,1.44,0,0,10.13,0,0,254.48,0,5.01,1.2,0,0,0
120,0,8.41,6.63,0,2.1,5.48,25.2,0,1.23,0,13.91,59.92,0,0,0,0,0,0,33.78,5.09,0,0,39.53,0,0,0,0,0,2.5,0,182.72,0,0,0,1.52,0,0
