stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,21.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,8.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.27,0,0,0,3.66,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,14.63,0,10.27,0,0,0,21.6,0,0,0,0,0,14.17,0,0,0,0,0,0,0,0,0,0,146.21,0,0,0,89.2,0,0,0,35.83,0,10.46,0,0,0,0,0,0
 14-21,0,0,1.21,36.21,3.25,0,162.48,0,0.82,0,0,4.29,0,0,16.94,0,0,0,0,4.28,0,0,36.72,344.89,0.82,0,0,0,0,2.89,103.93,0,3.63,1586.79,24.04,0,0,0,0,0
 24-34,0,0,1.24,18.77,0.83,0,92.47,2.21,0,0,2.8,11.44,0,2.2,12.62,0.62,0,3.27,0,12.84,0,0,29.41,165.84,0.6,1.51,1.25,0,0,2.09,3.12,0,2.99,579.88,14.09,0,0,3.62,0,0
 36-46,0,0.94,0,15.72,0,0,107.22,9.02,1.14,0,4.16,0.83,0,3.62,0.63,1.65,0,28.56,13.84,16.4,0,2.2,18.16,144.75,0,0,1.84,0,0,1.79,35.68,0,0,3.16,7.76,0,0,5.23,0,0
 48-58,0,0,0,18.06,0,0,282.54,0.62,3.97,0.53,4.35,0,0,4.53,6.3,2.6,1.66,42.28,0.88,9.12,0.44,4.77,17.42,225.16,0,0,0,0,0,0,0,0,0,0,8.39,0,0,5.59,0,0
 60-70,0,0,0,34.42,0,0,525.83,4.3,1.49,0.64,8.98,0.77,1.21,4.42,3.72,2.85,0,40.69,0,17.22,0,15.9,13.79,426.71,8.5,0,3.28,0,0,4.36,0,0,0,0,50.51,0,5.3,2.74,2.52,3.78
 72-82,0,0.54,0,12.14,1.75,7.56,307.2,2.1,0,0.6,16.93,0.51,0,3.46,16.12,12.14,1.68,6.22,1.34,33.13,2.43,3.04,24.94,525.43,0,0.65,1.42,0,0,6.09,0,0,0,0,64.22,1.01,4.05,0.63,8.37,0.62
 84-94,0,0,0,23.96,0.99,42.52,209.67,8.49,1.34,5.28,15.19,2.43,0,12.45,33.01,7.99,0,20.11,20.75,29.89,0,7.14,31.28,346.83,0,0,4.38,0,0.91,14.03,0,0,0,0,36.25,1.77,6.94,5,8.26,0
 96-106,0,0,0,41.75,1.84,12.36,162.52,0.57,0.69,3.91,21.22,5.18,0,12.04,13.17,2.37,1.73,10.39,6.63,41.05,1.56,2.5,27.68,321.23,0,0.85,0.61,0,1.04,20.72,0,0,0,0,29.67,0.67,5.75,0.94,8.39,1.22
108-118,0,0.84,0,49.68,1.75,14.34,216.98,5.35,2.48,10.73,28.94,4.95,0,15.61,17.51,5.43,0,9,12.58,102.9,3.29,1.23,56.23,656.05,0,0,3.27,8.11,0,22.33,0,0,2.42,0,14.07,1.1,8.03,2.86,10.64,0
120,0,0,0,65.4,11.38,3.12,209.27,20.78,8.86,13.78,37.74,5.62,0,23.8,7.14,2.88,0,4.93,1.67,158.05,0,10.71,55.9,552.82,0,0,7.59,0,2.54,54.51,0,0,1.03,0,36.07,0,0,5.59,7.25,0
