stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,4543.51,13362.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284.55,0,0,0,0,0,0,0,0,0,0,0
  5-6,11028.23,19166.02,0,144.56,0,0,0,0,0,0,0,0,1532.53,0,0,0,0,0,0,0,0,0,0,3301.88,192.29,0,0,418.12,0,91.86,0,0,0,0,0,0,0,0,0,0,0
  7-9,5931.48,136.35,0,901.51,0,0,35.32,0,0,0,0,0,4306.96,0,0,0,0,0,0,0,0,0,0,1551.82,3390.79,0,0,1580.99,0,11.12,121.51,0,0,0,0,0,0,0,0,0,0
 10-12,29.57,44.99,0,1282.06,0,0,240.68,0,0,0,0,0,189.24,0,0,0,0,0,0,0,0,0,0,3107.4,4472.82,0,0,264.94,0,8.88,11.92,0,61.7,0,3.11,0,0,0,0,0,0
 14-21,0,0,3.29,37.27,177.5,29.44,5.27,0,0,0,184.45,17.87,5.98,0,0,0,0,0,0,77.03,0,0,27.13,502.5,1589.23,0,0,14.52,0,4.32,0,10,1.38,9.19,11.77,1419.23,0,0,22.41,0,0
 24-34,0,0,2.51,11.88,46.47,0.68,2.03,0,1.73,0.62,168.88,4.16,0,0,0,0,0,0.69,0,38.67,0,0.81,13.43,767.13,57.64,0,0,0,0,13.02,0,0,0,0,2.85,1220.54,0,0,27.24,0,3.57
 36-46,0,0,0,1.86,18.1,0,4.84,0,0,0.6,105.14,0.83,0,0,0,0,0.71,1.5,0,25.78,0,5.66,7.99,646.59,24,0,1.34,0,0.77,2.22,0,0,0,0,0,970.15,0,0,21.69,0,0
 48-58,0,0,1.42,0.67,37.92,0,4.99,0,1.52,1.39,60.47,0,0,0.53,0.42,6.73,0,1.04,0,15.11,0,7.25,4.46,323.31,15.91,0,0,0,0,3.12,0,0,0,0,0,513.17,0,0.49,9.79,0,0
 60-70,0,0,2.63,0,54.28,0,4.62,0,1.24,0.85,51.79,2.74,0.66,0,0,0,0,7.26,0,3.53,0,0.6,0,153.71,3.97,0,0,0,0,0,0,0,0,0,0,137.22,10.82,0,0.9,0.83,4.87
 72-82,0,0,16.01,0,60.65,3.51,14.73,0,0,1,43.67,25.63,0,0,0,0,0,0,0,6.08,0,1.98,0,116.87,0.55,0,0,0,0,0,3.31,0,0,0,0,126.91,34.83,1.57,2.2,0,0
 84-94,0,0,28.53,0,53.39,0,3.85,0.79,0,0.7,56.77,14.66,0,0,0,1.11,1.2,0,3.66,0.6,0,0,1.36,160.65,0,0,0,0,0,1.13,0,0,0,0,0,82.6,96.52,2.93,7.94,5.23,0
 96-106,0,0,9.97,0,48.53,0.68,3.36,0,0,0,37.66,34.6,0,0,0,0,1.7,11.09,0,5.52,0.57,0,0,61.97,1.51,0,0,0,0,4.37,3.82,0,0,0,0,98.25,153.76,0,3.27,0,0
108-118,0,0,7.59,0,22.88,0,0.95,0,2.52,0,34.69,20.59,0,0,0,0.42,0,0.42,0,4.75,1.54,1.05,0,76.41,0,9.76,0,0,0,13.3,0,0,4.5,0,0,60.09,223.62,0,0.53,0.73,0
120,0,0,0,0,10.66,0,4.69,0,1.34,0,16.16,24.72,0,0,2.22,4.81,3.38,0,0,0,0,0,0,112.56,0,0,0,0,0,0,0,0,0,0,0,43.34,80.79,5.53,0,0,0
